t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w
1;24;211;0;0;0;0;0;0;0;0;0;0;0;0;86;-609;18635;0,518799;0,302917;-0,393921;0,695618
1;24;230;0,2881989;-0,3478305;1,246805;-0,05620881;-0,3494093;1,161642;0,4131794;-0,1071735;0,9039502;-0,2828791;-0,04237975;0,9268231;54;-462;18581;0,519409;0,302002;-0,394348;0,695313
1;24;233;0;0;0;0;0;0;0;0;0;0;0;0;54;-462;18581;0,519409;0,302002;-0,394348;0,695313
1;24;237;0;0;0;0;0;0;0;0;0;0;0;0;54;-462;18581;0,519409;0,302002;-0,394348;0,695313
1;24;241;0;0;0;0;0;0;0;0;0;0;0;0;54;-462;18581;0,519409;0,302002;-0,394348;0,695313
1;24;244;0;0;0;0;0;0;0;0;0;0;0;0;54;-462;18581;0,519409;0,302002;-0,394348;0,695313
1;24;247;0;0;0;0;0;0;0;0;0;0;0;0;54;-462;18581;0,519409;0,302002;-0,394348;0,695313
1;24;254;0;0;0;0;0;0;0;0;0;0;0;0;54;-462;18581;0,519409;0,302002;-0,394348;0,695313
1;24;261;0,2828742;-0,349391;1,247112;-0,04316212;-0,3536452;1,16619;0,4132822;-0,1071849;0,9041415;-0,2828617;-0,04230421;0,9269708;85;-394;18575;0,520447;0,301758;-0,39447;0,694519
1;24;265;0;0;0;0;0;0;0;0;0;0;0;0;85;-394;18575;0,520447;0,301758;-0,39447;0,694519
1;24;269;0;0;0;0;0;0;0;0;0;0;0;0;160;-521;18722;0,520203;0,302002;-0,394287;0,694763
1;24;274;0;0;0;0;0;0;0;0;0;0;0;0;160;-521;18722;0,520203;0,302002;-0,394287;0,694763
1;24;277;0;0;0;0;0;0;0;0;0;0;0;0;160;-521;18722;0,520203;0,302002;-0,394287;0,694763
1;24;281;0;0;0;0;0;0;0;0;0;0;0;0;160;-521;18722;0,520203;0,302002;-0,394287;0,694763
1;24;289;0;0;0;0;0;0;0;0;0;0;0;0;160;-521;18722;0,520203;0,302002;-0,394287;0,694763
1;24;294;0,2819352;-0,3535379;1,251232;-0,0338134;-0,3580208;1,16911;0,4133865;-0,1071976;0,9043308;-0,2828473;-0,0422308;0,9271378;160;-521;18722;0,520203;0,302002;-0,394287;0,694763
1;24;297;0;0;0;0;0;0;0;0;0;0;0;0;126;-578;18782;0,52002;0,301453;-0,393494;0,695557
1;24;301;0;0;0;0;0;0;0;0;0;0;0;0;126;-578;18782;0,52002;0,301453;-0,393494;0,695557
1;24;305;0;0;0;0;0;0;0;0;0;0;0;0;126;-578;18782;0,52002;0,301453;-0,393494;0,695557
1;24;309;0;0;0;0;0;0;0;0;0;0;0;0;126;-578;18782;0,52002;0,301453;-0,393494;0,695557
1;24;312;0;0;0;0;0;0;0;0;0;0;0;0;126;-578;18782;0,52002;0,301453;-0,393494;0,695557
1;24;317;0;0;0;0;0;0;0;0;0;0;0;0;126;-578;18782;0,52002;0,301453;-0,393494;0,695557
1;24;323;0,2751149;-0,3733552;1,245283;-0,02797011;-0,3608519;1,170916;0,4134858;-0,1072054;0,9045234;-0,282836;-0,04211455;0,9274465;-9;-577;18780;0,520996;0,300354;-0,393372;0,695374
1;24;328;0;0;0;0;0;0;0;0;0;0;0;0;-9;-577;18780;0,520996;0,300354;-0,393372;0,695374
1;24;332;0;0;0;0;0;0;0;0;0;0;0;0;-9;-577;18780;0,520996;0,300354;-0,393372;0,695374
1;24;337;0;0;0;0;0;0;0;0;0;0;0;0;-9;-577;18780;0,520996;0,300354;-0,393372;0,695374
1;24;342;0;0;0;0;0;0;0;0;0;0;0;0;-9;-577;18780;0,520996;0,300354;-0,393372;0,695374
1;24;346;0;0;0;0;0;0;0;0;0;0;0;0;91;-502;18749;0,523499;0,29773;-0,393127;0,694763
1;24;350;0;0;0;0;0;0;0;0;0;0;0;0;91;-502;18749;0,523499;0,29773;-0,393127;0,694763
1;24;357;0,2699836;-0,3893174;1,239429;-0,02443733;-0,3623718;1,172027;0,4135776;-0,1072086;0,904714;-0,2828285;-0,04200012;0,9277689;91;-502;18749;0,523499;0,29773;-0,393127;0,694763
1;24;361;0;0;0;0;0;0;0;0;0;0;0;0;91;-502;18749;0,523499;0,29773;-0,393127;0,694763
1;24;364;0;0;0;0;0;0;0;0;0;0;0;0;91;-502;18749;0,523499;0,29773;-0,393127;0,694763
1;24;368;0;0;0;0;0;0;0;0;0;0;0;0;91;-502;18749;0,523499;0,29773;-0,393127;0,694763
1;24;372;0;0;0;0;0;0;0;0;0;0;0;0;152;-518;18757;0,524231;0,296997;-0,391907;0,69519
1;24;376;0;0;0;0;0;0;0;0;0;0;0;0;152;-518;18757;0,524231;0,296997;-0,391907;0,69519
1;24;380;0;0;0;0;0;0;0;0;0;0;0;0;152;-518;18757;0,524231;0,296997;-0,391907;0,69519
1;24;385;0;0;0;0;0;0;0;0;0;0;0;0;152;-518;18757;0,524231;0,296997;-0,391907;0,69519
1;24;390;0,1671544;-0,7319012;1,118447;-0,02189259;-0,3635293;1,172752;0,4136612;-0,107204;0,9049072;-0,2828271;-0,04192572;0,9280006;152;-518;18757;0,524231;0,296997;-0,391907;0,69519
1;24;394;0;0;0;0;0;0;0;0;0;0;0;0;152;-518;18757;0,524231;0,296997;-0,391907;0,69519
1;24;397;0;0;0;0;0;0;0;0;0;0;0;0;307;-644;19055;0,523682;0,296204;-0,388367;0,697937
1;24;401;0;0;0;0;0;0;0;0;0;0;0;0;307;-644;19055;0,523682;0,296204;-0,388367;0,697937
1;24;407;0;0;0;0;0;0;0;0;0;0;0;0;307;-644;19055;0,523682;0,296204;-0,388367;0,697937
1;24;412;0;0;0;0;0;0;0;0;0;0;0;0;307;-644;19055;0,523682;0,296204;-0,388367;0,697937
1;24;416;0;0;0;0;0;0;0;0;0;0;0;0;307;-644;19055;0,523682;0,296204;-0,388367;0,697937
1;24;421;0;0;0;0;0;0;0;0;0;0;0;0;388;-495;19216;0,522217;0,295837;-0,384094;0,701599
1;24;426;0,1392105;-0,8226611;1,087344;-0,0202135;-0,3643682;1,173107;0,4137355;-0,1071896;0,905103;-0,2828347;-0,04181834;0,9283844;388;-495;19216;0,522217;0,295837;-0,384094;0,701599
1;24;429;0;0;0;0;0;0;0;0;0;0;0;0;388;-495;19216;0,522217;0,295837;-0,384094;0,701599
1;24;433;0;0;0;0;0;0;0;0;0;0;0;0;388;-495;19216;0,522217;0,295837;-0,384094;0,701599
1;24;437;0;0;0;0;0;0;0;0;0;0;0;0;388;-495;19216;0,522217;0,295837;-0,384094;0,701599
1;24;442;0;0;0;0;0;0;0;0;0;0;0;0;388;-495;19216;0,522217;0,295837;-0,384094;0,701599
1;24;447;0;0;0;0;0;0;0;0;0;0;0;0;211;-158;19126;0,518127;0,296326;-0,374268;0,709595
1;24;451;0;0;0;0;0;0;0;0;0;0;0;0;211;-158;19126;0,518127;0,296326;-0,374268;0,709595
