t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;imu_yaw;imu_pitch;imu_roll;imu_yaw_velocity;imu_pitch_velocity;imu_roll_velocity;kinect_head_orientation.x;kinect_head_orientation.y;kinect_head_orientation.z;kinect_head_orientation.w;kinect_shoulder_center_orientation.x;kinect_shoulder_center_orientation.y;kinect_shoulder_center_orientation.z;kinect_shoulder_center_orientation.w;kinect_shoulder_right_orientation.x;kinect_shoulder_right_orientation.y;kinect_shoulder_right_orientation.z;kinect_shoulder_right_orientation.w;kinect_shoulder_left_orientation.x;kinect_shoulder_left_orientation.y;kinect_shoulder_left_orientation.z;kinect_shoulder_left_orientation.w;kinect_elbow_left_orientation.x;kinect_elbow_left_orientation.y;kinect_elbow_left_orientation.z;kinect_elbow_left_orientation.w;kinect_elbow_right_orientation.x;kinect_elbow_right_orientation.y;kinect_elbow_right_orientation.z;kinect_elbow_right_orientation.w;kinect_wrist_right_orientation.x;kinect_wrist_right_orientation.y;kinect_wrist_right_orientation.z;kinect_wrist_right_orientation.w;kinect_wrist_left_orientation.x;kinect_wrist_left_orientation.y;kinect_wrist_left_orientation.z;kinect_wrist_left_orientation.w;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
0;40;554;0;0;0;0;0;0;0;0;0;0;0;0;-0,769816;0,297016;8,212178;-0,779183;0,2398;0,579217;0,438904;-0,133362;-0,888611;0,003174;-169,7258;-51,18145;13,87384;0,1582031;0,005409241;-0,04570961;0,2332603;-0,4307472;0,02483143;0,8714527;0,2332603;-0,4307472;0,02483143;0,8714527;0,3041534;-0,7577997;-0,2517971;0,5194504;0,1759659;0,1076946;0,04846497;0,9772866;-0,3038386;0,8753551;0,2629988;-0,2688258;-0,1057483;0,7846984;0,04627822;0,6090354;-0,3058009;0,8801985;0,2625321;-0,2506258;0,08168375;0,4594195;-0,07067926;0,8816269;0;0;0;1;0;0;0;1;0,08168375;0,4594195;-0,07067926;0,8816269;-0,3058009;0,8801985;0,2625321;-0,2506258
0;40;564;-0,2561848;-0,7157823;0,9099894;0,1351263;-0,9880853;1,046587;0,4815896;0,2779911;1,134432;0,3558721;-0,1337479;0,8682811;-0,769816;0,297016;8,212178;-0,779183;0,2398;0,579217;0,438904;-0,133362;-0,888611;0,003174;-169,7258;-51,18145;13,87384;0;0;0;0,2332529;-0,4306945;0,02484145;0,8714805;0,2332529;-0,4306945;0,02484145;0,8714805;0,304217;-0,7577453;-0,251822;0,5194802;0,1764455;0,1063054;0,05037389;0,9772557;-0,3039223;0,8753593;0,2630001;-0,2687161;-0,1054124;0,7839463;0,04572231;0,6101032;-0,3055982;0,880157;0,2624798;-0,2510733;0,07774911;0,4655042;-0,07167915;0,8787054;0;0;0;1;0;0;0;1;0,07774911;0,4655042;-0,07167915;0,8787054;-0,3055982;0,880157;0,2624798;-0,2510733
0;40;573;0;0;0;0;0;0;0;0;0;0;0;0;-0,769816;0,297016;8,212178;-0,779183;0,2398;0,579217;0,438904;-0,133362;-0,888611;0,003174;-169,7258;-51,18145;13,87384;0;0;0;0,2332529;-0,4306945;0,02484145;0,8714805;0,2332529;-0,4306945;0,02484145;0,8714805;0,304217;-0,7577453;-0,251822;0,5194802;0,1764455;0,1063054;0,05037389;0,9772557;-0,3039223;0,8753593;0,2630001;-0,2687161;-0,1054124;0,7839463;0,04572231;0,6101032;-0,3055982;0,880157;0,2624798;-0,2510733;0,07774911;0,4655042;-0,07167915;0,8787054;0;0;0;1;0;0;0;1;0,07774911;0,4655042;-0,07167915;0,8787054;-0,3055982;0,880157;0,2624798;-0,2510733
0;40;583;0;0;0;0;0;0;0;0;0;0;0;0;-0,769816;0,297016;8,212178;-0,779183;0,2398;0,579217;0,438904;-0,133362;-0,888611;0,003174;-169,7258;-51,18145;13,87384;0;0;0;0,2332529;-0,4306945;0,02484145;0,8714805;0,2332529;-0,4306945;0,02484145;0,8714805;0,304217;-0,7577453;-0,251822;0,5194802;0,1764455;0,1063054;0,05037389;0,9772557;-0,3039223;0,8753593;0,2630001;-0,2687161;-0,1054124;0,7839463;0,04572231;0,6101032;-0,3055982;0,880157;0,2624798;-0,2510733;0,07774911;0,4655042;-0,07167915;0,8787054;0;0;0;1;0;0;0;1;0,07774911;0,4655042;-0,07167915;0,8787054;-0,3055982;0,880157;0,2624798;-0,2510733
0;40;593;0;0;0;0;0;0;0;0;0;0;0;0;-0,758905;0,200031;8,246122;-0,779527;0,238652;0,579079;0,439026;-0,133057;-0,88855;0,002502;-169,6359;-51,21907;13,80736;0,08990479;-0,03762054;-0,06648064;0,2332529;-0,4306945;0,02484145;0,8714805;0,2332529;-0,4306945;0,02484145;0,8714805;0,304217;-0,7577453;-0,251822;0,5194802;0,1764455;0,1063054;0,05037389;0,9772557;-0,3039223;0,8753593;0,2630001;-0,2687161;-0,1054124;0,7839463;0,04572231;0,6101032;-0,3055982;0,880157;0,2624798;-0,2510733;0,07774911;0,4655042;-0,07167915;0,8787054;0;0;0;1;0;0;0;1;0,07774911;0,4655042;-0,07167915;0,8787054;-0,3055982;0,880157;0,2624798;-0,2510733
0;40;604;-0,2563834;-0,7151936;0,9094216;0,1350695;-0,987958;1,046487;0,481776;0,2775018;1,134412;0,3557961;-0,1337656;0,8682547;-0,758905;0,200031;8,246122;-0,779527;0,238652;0,579079;0,439026;-0,133057;-0,88855;0,002502;-169,6359;-51,21907;13,80736;0;0;0;0,2332425;-0,4306484;0,02485045;0,8715058;0,2332425;-0,4306484;0,02485045;0,8715058;0,3042783;-0,7576968;-0,2518427;0,5195051;0,1768821;0,1050184;0,05215628;0,9772224;-0,303968;0,8753865;0,2629842;-0,2685914;-0,105071;0,783127;0,04509645;0,6112599;-0,3055948;0,8800032;0,2624892;-0,251606;0,0740782;0,4712319;-0,07239228;0,8759066;0;0;0;1;0;0;0;1;0,0740782;0,4712319;-0,07239228;0,8759066;-0,3055948;0,8800032;0,2624892;-0,251606
0;40;613;0;0;0;0;0;0;0;0;0;0;0;0;-0,758905;0,200031;8,246122;-0,779527;0,238652;0,579079;0,439026;-0,133057;-0,88855;0,002502;-169,6359;-51,21907;13,80736;0;0;0;0,2332425;-0,4306484;0,02485045;0,8715058;0,2332425;-0,4306484;0,02485045;0,8715058;0,3042783;-0,7576968;-0,2518427;0,5195051;0,1768821;0,1050184;0,05215628;0,9772224;-0,303968;0,8753865;0,2629842;-0,2685914;-0,105071;0,783127;0,04509645;0,6112599;-0,3055948;0,8800032;0,2624892;-0,251606;0,0740782;0,4712319;-0,07239228;0,8759066;0;0;0;1;0;0;0;1;0,0740782;0,4712319;-0,07239228;0,8759066;-0,3055948;0,8800032;0,2624892;-0,251606
0;40;621;0;0;0;0;0;0;0;0;0;0;0;0;-0,758905;0,200031;8,246122;-0,779527;0,238652;0,579079;0,439026;-0,133057;-0,88855;0,002502;-169,6359;-51,21907;13,80736;0;0;0;0,2332425;-0,4306484;0,02485045;0,8715058;0,2332425;-0,4306484;0,02485045;0,8715058;0,3042783;-0,7576968;-0,2518427;0,5195051;0,1768821;0,1050184;0,05215628;0,9772224;-0,303968;0,8753865;0,2629842;-0,2685914;-0,105071;0,783127;0,04509645;0,6112599;-0,3055948;0,8800032;0,2624892;-0,251606;0,0740782;0,4712319;-0,07239228;0,8759066;0;0;0;1;0;0;0;1;0,0740782;0,4712319;-0,07239228;0,8759066;-0,3055948;0,8800032;0,2624892;-0,251606
0;40;632;-0,2564357;-0,7147937;0,9089755;0,1349944;-0,9878214;1,046358;0,481934;0,2770068;1,134411;0,3557248;-0,1337888;0,8682307;-0,758905;0,200031;8,246122;-0,779527;0,238652;0,579079;0,439026;-0,133057;-0,88855;0,002502;-169,6359;-51,21907;13,80736;0;0;0;0,233225;-0,4306073;0,02485783;0,8715306;0,233225;-0,4306073;0,02485783;0,8715306;0,3043316;-0,7576536;-0,2518632;0,519527;0,177284;0,1038074;0,05386055;0,9771865;-0,3040699;0,8753914;0,2629866;-0,2684576;-0,1049312;0,7826164;0,0446529;0,6119699;-0,3053592;0,8799261;0,262433;-0,2522198;0,07170528;0,4750833;-0,07258986;0,8740051;0;0;0;1;0;0;0;1;0,07170528;0,4750833;-0,07258986;0,8740051;-0,3053592;0,8799261;0,262433;-0,2522198
0;40;641;0;0;0;0;0;0;0;0;0;0;0;0;-0,758905;0,200031;8,246122;-0,779527;0,238652;0,579079;0,439026;-0,133057;-0,88855;0,002502;-169,6359;-51,21907;13,80736;0;0;0;0,233225;-0,4306073;0,02485783;0,8715306;0,233225;-0,4306073;0,02485783;0,8715306;0,3043316;-0,7576536;-0,2518632;0,519527;0,177284;0,1038074;0,05386055;0,9771865;-0,3040699;0,8753914;0,2629866;-0,2684576;-0,1049312;0,7826164;0,0446529;0,6119699;-0,3053592;0,8799261;0,262433;-0,2522198;0,07170528;0,4750833;-0,07258986;0,8740051;0;0;0;1;0;0;0;1;0,07170528;0,4750833;-0,07258986;0,8740051;-0,3053592;0,8799261;0,262433;-0,2522198
