t;kinect_foot_right;;;kinect_foot_left;;;kinect_hand_right;;;kinect_hand_left;;;imu_acceleration;;;imu_orientation;;;;
t;x;y;z;x;y;z;x;y;z;x;y;z;x;y;z;w;x;y;z;
50;0,1194678;-0,6019351;0,929829;-0,03073234;-0,2714584;1,051508;-0,07452244;0,05201003;0,963785;-0,4526561;0,3401764;1,398806;-1044;-1209;18808;0,612;0,014282;-0,668091;0,422913;
77;0;0;0;0;0;0;0;0;0;0;0;0;-1044;-1209;18808;0,612;0,014282;-0,668091;0,422913;
91;0,1204974;-0,6032253;0,9247785;-0,03124168;-0,2722305;1,052177;-0,07688843;0,05589065;0,9647928;-0,4522191;0,3402887;1,398475;-1044;-1209;18808;0,612;0,014282;-0,668091;0,422913;
111;0,1215134;-0,604026;0,9212379;-0,03167526;-0,2729097;1,052845;-0,08312213;0,110732;0,9786072;-0,4518289;0,3404101;1,398183;-1034;-518;18807;0,609558;0,014893;-0,670044;0,42334;
124;0;0;0;0;0;0;0;0;0;0;0;0;-1034;-518;18807;0,609558;0,014893;-0,670044;0,42334;
137;0;0;0;0;0;0;0;0;0;0;0;0;-1034;-518;18807;0,609558;0,014893;-0,670044;0,42334;
156;0,1221099;-0,6044787;0,9185873;-0,03254336;-0,2752485;1,054536;-0,07331458;0,05352008;0,9736493;-0,4514636;0,3405462;1,397911;-1114;-462;19006;0,608276;0,006165;-0,672119;0,422119;
168;0;0;0;0;0;0;0;0;0;0;0;0;-1114;-462;19006;0,608276;0,006165;-0,672119;0,422119;
183;0,07964103;-0,5427521;0,8389328;-0,03368787;-0,2781415;1,056514;0,02771179;-0,02754696;0,886858;-0,4085865;0,3349427;1,361555;-1341;-356;19122;0,608154;-0,003906;-0,673706;0,4198;
196;0;0;0;0;0;0;0;0;0;0;0;0;-1341;-356;19122;0,608154;-0,003906;-0,673706;0,4198;
210;0,04111425;-0,533151;0,8223817;-0,03509369;-0,2824852;1,059175;0,08424769;-0,0640467;0,8392153;-0,3826817;0,3314767;1,339279;-1404;-380;19199;0,60791;-0,011841;-0,674866;0,418091;
224;0;0;0;0;0;0;0;0;0;0;0;0;-1404;-380;19199;0,60791;-0,011841;-0,674866;0,418091;
236;0;0;0;0;0;0;0;0;0;0;0;0;-1404;-380;19199;0,60791;-0,011841;-0,674866;0,418091;
250;0,02295284;-0,5501954;0,8412685;-0,03591858;-0,2855572;1,061225;0,1052617;-0,07917571;0,8218018;-0,3735651;0,3302847;1,331164;-1445;-83;19479;0,603272;-0,028748;-0,678589;0,417969;
263;0;0;0;0;0;0;0;0;0;0;0;0;-1445;-83;19479;0,603272;-0,028748;-0,678589;0,417969;
278;0,02442377;-0,5788248;0,8840597;-0,04226506;-0,2989387;1,067704;0,1180458;-0,08715358;0,8112571;-0,3677791;0,3295122;1,325952;-1297;127;19515;0,600769;-0,032349;-0,679688;0,419556;
291;0;0;0;0;0;0;0;0;0;0;0;0;-1297;127;19515;0,600769;-0,032349;-0,679688;0,419556;
304;0;0;0;0;0;0;0;0;0;0;0;0;-1229;571;19515;0,59668;-0,035645;-0,681152;0,422791;
320;0,0605211;-0,593354;0,9435296;-0,04466987;-0,304159;1,070445;0,08926397;-0,07788039;0,8283014;-0,3657547;0,3291088;1,32297;-1229;571;19515;0,59668;-0,035645;-0,681152;0,422791;
332;0;0;0;0;0;0;0;0;0;0;0;0;-1305;797;19456;0,593384;-0,037109;-0,682495;0,42511;
346;0,08438548;-0,5935448;0,9734015;-0,04581254;-0,3065451;1,071724;0,06835682;-0,06969119;0,8419365;-0,427941;0,3371246;1,367666;-1305;797;19456;0,593384;-0,037109;-0,682495;0,42511;
