"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;5.802717805E-1;-7.766138315E-1;1.005412960E1
2.480937000E-3;6.832774282E-1;-9.299244881E-1;1.040865898E1
4.943021000E-3;8.174241185E-1;-1.023348093E0;1.024576759E1
7.393021000E-3;7.671191096E-1;-1.320387483E0;8.830039024E0
9.855104000E-3;9.180342555E-1;-1.495257378E0;8.980954170E0
1.231718700E-2;9.994805455E-1;-1.672522783E0;9.809790611E0
1.477921900E-2;9.659438729E-1;-1.806669712E0;1.009485245E1
1.724130200E-2;8.054468036E-1;-1.936025381E0;1.019546223E1
1.974723900E-2;7.287915349E-1;-2.060590267E0;1.051166534E1
2.220937500E-2;6.473452449E-1;-2.134850264E0;1.083745003E1
2.467145800E-2;6.425542235E-1;-2.268996954E0;1.095722389E1
2.713354100E-2;5.778763890E-1;-2.352838755E0;1.095482826E1
2.959562500E-2;4.868481755E-1;-2.467821836E0;1.081828594E1
3.205770800E-2;4.628934264E-1;-2.594781876E0;1.071767616E1
3.451979100E-2;3.886335492E-1;-2.740906239E0;1.060988045E1
3.698192700E-2;3.766561151E-1;-2.865470886E0;1.042782307E1
3.944401000E-2;3.407240510E-1;-3.009199858E0;1.037033272E1
4.190609400E-2;3.718650937E-1;-3.181674242E0;1.026493168E1
4.436817700E-2;3.934245706E-1;-3.272702456E0;1.025055790E1
4.680921900E-2;3.023962379E-1;-3.404453754E0;1.023618507E1
4.927130200E-2;2.592777610E-1;-3.500272989E0;1.025295353E1
5.173338500E-2;3.095827699E-1;-3.608069420E0;1.017390251E1
5.419546900E-2;1.850178838E-1;-3.694306850E0;1.023618507E1
5.665760400E-2;1.730405688E-1;-3.790125608E0;1.024337101E1
5.911968700E-2;1.898087859E-1;-3.883549452E0;1.027451324E1
6.158177100E-2;1.850178838E-1;-3.933854342E0;1.020025349E1
6.404385400E-2;1.658540368E-1;-4.029673576E0;1.018827534E1
6.650593700E-2;1.969953179E-1;-4.060814857E0;1.013557529E1
6.896802100E-2;2.616731524E-1;-4.103933334E0;9.982264519E0
7.143010400E-2;2.520912290E-1;-4.089560509E0;9.903213501E0
7.389223900E-2;2.712551951E-1;-4.154238701E0;9.888841629E0
7.639552100E-2;3.095827699E-1;-4.194961548E0;9.795416832E0
7.885760400E-2;3.287466168E-1;-4.168611526E0;9.634920120E0
8.131968700E-2;3.095827699E-1;-4.149447441E0;9.524727821E0
8.378182300E-2;3.000008464E-1;-4.151843071E0;9.364231110E0
8.624390600E-2;3.239555955E-1;-4.147051811E0;9.318717003E0
8.870593700E-2;2.712551951E-1;-4.135074615E0;9.170197487E0
9.116807300E-2;2.688596845E-1;-4.029673576E0;9.043237686E0
9.363015600E-2;2.281364799E-1;-4.000927925E0;9.105519295E0
9.609223900E-2;1.922042966E-1;-3.991346121E0;8.954604149E0
9.855432300E-2;2.425094247E-1;-3.893131495E0;8.822853088E0
1.010164060E-1;1.922042966E-1;-3.840430975E0;8.846807480E0
1.034784890E-1;2.281364799E-1;-3.744611740E0;8.786920547E0
1.059227080E-1;1.898087859E-1;-3.658374548E0;8.774943352E0
1.083847910E-1;2.257409692E-1;-3.581719160E0;8.727033615E0
1.108468750E-1;2.353228927E-1;-3.526623249E0;8.643192291E0
1.133089580E-1;2.017862201E-1;-3.440386057E0;8.691101074E0
1.157710410E-1;2.257409692E-1;-3.339775801E0;8.647983551E0
1.182331770E-1;2.209500670E-1;-3.243956804E0;8.643192291E0
1.206952600E-1;3.095827699E-1;-3.152928591E0;8.540185928E0
1.231572910E-1;2.952099442E-1;-3.097832441E0;8.695892334E0
1.256194270E-1;3.167691827E-1;-2.997222424E0;8.688706398E0
1.280815100E-1;3.167691827E-1;-2.944521904E0;8.698287964E0
1.305435940E-1;4.030063748E-1;-2.836725235E0;8.662356377E0
1.330057290E-1;4.293566346E-1;-2.805584192E0;8.777338982E0
1.354759370E-1;4.940345883E-1;-2.681019306E0;8.844411850E0
1.379380210E-1;4.964299798E-1;-2.618736744E0;8.906694412E0
1.404001040E-1;4.940345883E-1;-2.568431854E0;9.009699821E0
1.428621870E-1;5.371533036E-1;-2.446262360E0;9.086355209E0
1.453243230E-1;5.611080527E-1;-2.417516708E0;9.174987793E0
1.477863540E-1;6.185994744E-1;-2.352838755E0;9.206129074E0
1.502484890E-1;6.593226790E-1;-2.304929256E0;9.285180092E0
1.527105210E-1;6.473452449E-1;-2.216296434E0;9.409745216E0
1.551726560E-1;6.904638410E-1;-2.218692064E0;9.469632149E0
1.576347390E-1;5.658990741E-1;-2.122872829E0;9.452863693E0
1.600968230E-1;5.131984353E-1;-2.058194637E0;9.613361359E0
1.625589060E-1;5.179893374E-1;-2.005494356E0;9.663666725E0
1.650214060E-1;5.060120225E-1;-1.957584858E0;9.632524490E0
1.674834890E-1;4.868481755E-1;-1.900093317E0;9.745112419E0
1.699455730E-1;5.299667716E-1;-1.854579210E0;9.840930939E0
1.724076560E-1;6.952547431E-1;-1.718036890E0;9.682828903E0
1.748697910E-1;6.760910153E-1;-1.706059456E0;9.840930939E0
1.773318750E-1;6.880684495E-1;-1.648568034E0;9.876863480E0
1.797939580E-1;6.976502538E-1;-1.662940860E0;1.001580143E1
1.822559890E-1;7.982603908E-1;-1.567121744E0;9.903213501E0
1.847181250E-1;8.150287271E-1;-1.497652888E0;9.941541672E0
1.871802080E-1;8.653337359E-1;-1.502443910E0;9.984660149E0
1.896422910E-1;8.701247573E-1;-1.444952369E0;1.001580143E1
1.921043750E-1;9.060569406E-1;-1.411415577E0;9.977473259E0
1.945741660E-1;8.844975829E-1;-1.339551210E0;9.951123238E0
1.970362500E-1;8.533564210E-1;-1.327573895E0;1.002059269E1
1.994983330E-1;8.557519317E-1;-1.270082355E0;9.951123238E0
2.019604160E-1;8.868929744E-1;-1.236545801E0;9.857699394E0
2.044225520E-1;8.270061612E-1;-1.234150290E0;9.831349373E0
2.068845830E-1;8.365879655E-1;-1.152704000E0;9.678038597E0
2.093467190E-1;8.461698890E-1;-1.162285924E0;9.661270142E0
2.118087500E-1;7.934693694E-1;-1.145517468E0;9.757089615E0
2.142708850E-1;7.934693694E-1;-1.157494903E0;9.740321159E0
2.167329690E-1;7.767010331E-1;-1.107189894E0;9.747507095E0
2.191950520E-1;8.365879655E-1;-1.126353741E0;9.721157074E0
2.216571350E-1;8.605427146E-1;-1.133540154E0;9.642106056E0
2.241284370E-1;7.886784673E-1;-1.135935664E0;9.632524490E0
2.265905210E-1;8.174241185E-1;-1.143121958E0;9.615756035E0
2.290526040E-1;8.701247573E-1;-1.145517468E0;9.575033188E0
2.315146870E-1;8.413789868E-1;-1.147912979E0;9.613361359E0
2.339768230E-1;8.365879655E-1;-1.236545801E0;9.613361359E0
2.364388540E-1;8.749156594E-1;-1.231754780E0;9.479214668E0
2.389009890E-1;8.964750171E-1;-1.260500550E0;9.388186455E0
2.413630210E-1;7.838875651E-1;-1.322782993E0;9.563055038E0
2.438251560E-1;7.838875651E-1;-1.349133253E0;9.515146255E0
2.462872390E-1;7.886784673E-1;-1.430579543E0;9.445676804E0
2.487493230E-1;7.503507733E-1;-1.502443910E0;9.529519081E0
2.512114060E-1;7.814920545E-1;-1.531189561E0;9.503169060E0
2.536814060E-1;7.743056417E-1;-1.586285591E0;9.519937515E0
2.561434890E-1;7.790965438E-1;-1.634195089E0;9.474423409E0
2.586055730E-1;7.407688498E-1;-1.710850477E0;9.551077843E0
2.610676560E-1;8.054468036E-1;-1.741991758E0;9.524727821E0
2.635297910E-1;8.629382253E-1;-1.837810755E0;9.531914711E0
2.659918750E-1;7.503507733E-1;-1.921652555E0;9.673247337E0
2.684539580E-1;7.024412751E-1;-1.921652555E0;9.603778839E0
2.709160410E-1;6.617181897E-1;-1.979144096E0;9.625338554E0
2.733781250E-1;6.617181897E-1;-2.055799484E0;9.656478882E0
2.758402080E-1;6.329724193E-1;-2.139641047E0;9.675642967E0
2.783022910E-1;6.281813979E-1;-2.137245655E0;9.601383209E0
2.807643750E-1;6.689044833E-1;-2.218692064E0;9.649292946E0
2.832344270E-1;6.545316577E-1;-2.264205933E0;9.701992989E0
2.856965100E-1;7.599328160E-1;-2.297742844E0;9.670852661E0
2.881585940E-1;7.455598712E-1;-2.362420559E0;9.766671181E0
2.906206770E-1;8.030512929E-1;-2.352838755E0;9.709179878E0
2.930828120E-1;8.389834762E-1;-2.391166210E0;9.699598312E0
2.955448440E-1;7.767010331E-1;-2.395957232E0;9.725948334E0
2.980069790E-1;7.311870456E-1;-2.446262360E0;9.824163437E0
3.004690620E-1;7.599328160E-1;-2.443866968E0;9.757089615E0
3.029311460E-1;7.647235990E-1;-2.443866968E0;9.613361359E0
3.053932290E-1;8.174241185E-1;-2.515731335E0;9.618151665E0
3.078553120E-1;7.862829566E-1;-2.513335705E0;9.728343010E0
3.103173960E-1;7.263960242E-1;-2.532499552E0;9.725948334E0
3.127873960E-1;6.952547431E-1;-2.587595463E0;9.682828903E0
3.152494790E-1;6.952547431E-1;-2.611550570E0;9.553474426E0
3.177115620E-1;6.808819175E-1;-2.597177505E0;9.613361359E0
3.201736460E-1;5.874583125E-1;-2.642691612E0;9.661270142E0
3.226357810E-1;5.491306186E-1;-2.695392132E0;9.610964775E0
3.250978120E-1;5.155939460E-1;-2.740906239E0;9.666061401E0
3.275599480E-1;5.203848481E-1;-2.767256498E0;9.622941971E0
3.300219790E-1;5.251757503E-1;-2.755279064E0;9.575033188E0
3.324841140E-1;4.844526649E-1;-2.757674456E0;9.613361359E0
3.349461980E-1;4.796617627E-1;-2.800793171E0;9.654084206E0
3.374082810E-1;4.437294602E-1;-2.824748039E0;9.627733231E0
3.398704160E-1;4.101929069E-1;-2.812770605E0;9.531914711E0
3.423398960E-1;3.622832894E-1;-2.827143431E0;9.572637558E0
3.448019790E-1;3.550968766E-1;-2.839120626E0;9.598988533E0
3.472640620E-1;3.934245706E-1;-2.867866516E0;9.498377800E0
3.497261460E-1;3.263511062E-1;-2.853493690E0;9.486400604E0
3.521882810E-1;3.071872592E-1;-2.822352409E0;9.428909302E0
3.546503120E-1;2.401139140E-1;-2.774442911E0;9.400163651E0
3.571124480E-1;2.592777610E-1;-2.803188801E0;9.412139893E0
3.595744790E-1;3.095827699E-1;-2.745697260E0;9.330694199E0
3.620366140E-1;3.383285403E-1;-2.700182915E0;9.246851921E0
3.644986980E-1;3.670743108E-1;-2.673832655E0;9.244457245E0
3.669607810E-1;3.742606044E-1;-2.649878025E0;9.215711594E0
3.694228640E-1;4.485204816E-1;-2.599572897E0;9.230084419E0
3.718916660E-1;5.084075332E-1;-2.542081594E0;9.261225700E0
3.743537500E-1;5.299667716E-1;-2.498962879E0;9.251643181E0
3.768158330E-1;5.491306186E-1;-2.415121317E0;9.297157288E0
3.792779690E-1;5.802717805E-1;-2.412725687E0;9.246851921E0
3.817400520E-1;6.066221595E-1;-2.386375427E0;9.196547508E0
3.842020830E-1;5.922492146E-1;-2.292951822E0;9.316321373E0
3.866642190E-1;6.569271684E-1;-2.278578997E0;9.273202896E0
3.891263020E-1;6.305769086E-1;-2.278578997E0;9.282784462E0
3.915883850E-1;6.665089726E-1;-2.252228498E0;9.266016006E0
3.940504690E-1;6.832774282E-1;-2.225878239E0;9.256434441E0
3.965125520E-1;6.712999940E-1;-2.218692064E0;9.321112633E0
3.989746350E-1;6.880684495E-1;-2.230669260E0;9.366625786E0
4.014448440E-1;6.665089726E-1;-2.233064651E0;9.443282127E0
4.039069270E-1;6.641134620E-1;-2.240251303E0;9.400163651E0
4.063690100E-1;6.736955047E-1;-2.225878239E0;9.366625786E0
4.088310940E-1;6.066221595E-1;-2.268996954E0;9.546287537E0
4.112932290E-1;6.066221595E-1;-2.288160801E0;9.606174469E0
4.137552600E-1;6.281813979E-1;-2.295347214E0;9.572637558E0
4.162173960E-1;6.185994744E-1;-2.278578997E0;9.563055038E0
4.186794790E-1;5.395486951E-1;-2.261810541E0;9.745112419E0
4.211415620E-1;4.868481755E-1;-2.297742844E0;9.800208092E0
4.236036460E-1;4.700797200E-1;-2.295347214E0;9.776253700E0
4.260657290E-1;4.868481755E-1;-2.257019520E0;9.733134270E0
4.285278640E-1;4.077973962E-1;-2.297742844E0;9.816976547E0
4.309986460E-1;4.030063748E-1;-2.314511061E0;9.781044006E0
4.334607290E-1;4.125882983E-1;-2.225878239E0;9.785835266E0
4.359228120E-1;3.431194425E-1;-2.259414911E0;9.795416832E0
4.383849480E-1;3.095827699E-1;-2.187550783E0;9.716365814E0
4.408470310E-1;3.000008464E-1;-2.201923609E0;9.733134270E0
4.433090620E-1;3.071872592E-1;-2.161200523E0;9.711575508E0
4.457711980E-1;3.191646934E-1;-2.142036438E0;9.651688576E0
4.482332810E-1;2.736504674E-1;-2.144432068E0;9.610964775E0
4.506953640E-1;2.904189229E-1;-2.134850264E0;9.728343010E0
4.531574480E-1;3.167691827E-1;-2.120477200E0;9.596591949E0
4.556195310E-1;3.479103446E-1;-2.067776680E0;9.510354996E0
4.580816140E-1;4.030063748E-1;-2.065381289E0;9.395372391E0
4.605469790E-1;3.694698215E-1;-2.065381289E0;9.431303978E0
4.630090620E-1;3.598877788E-1;-2.015076160E0;9.450468063E0
4.654711460E-1;3.407240510E-1;-1.991121531E0;9.380999565E0
4.679332290E-1;4.197747111E-1;-1.998307943E0;9.373813629E0
4.703953640E-1;4.221702218E-1;-1.998307943E0;9.335485458E0
4.728573960E-1;4.413340688E-1;-1.940816402E0;9.347462654E0
4.753195310E-1;4.485204816E-1;-1.962375641E0;9.397767067E0
4.777815620E-1;4.868481755E-1;-1.928838968E0;9.325902939E0
4.802436980E-1;4.700797200E-1;-1.945607185E0;9.280388832E0
4.827057810E-1;4.868481755E-1;-1.924047947E0;9.261225700E0
4.851678640E-1;4.868481755E-1;-1.928838968E0;9.275598526E0
4.876299480E-1;5.060120225E-1;-1.916861534E0;9.263621330E0
4.901007810E-1;5.323622823E-1;-1.904884338E0;9.225293159E0
4.925628640E-1;5.443395972E-1;-1.964771271E0;9.119892120E0
4.950249480E-1;5.611080527E-1;-1.971957684E0;9.146242142E0
4.974870310E-1;5.587125421E-1;-1.933629990E0;9.220501900E0
4.999491660E-1;5.060120225E-1;-1.888115883E0;9.249248505E0
5.024111980E-1;5.371533036E-1;-1.926443577E0;9.261225700E0
5.048733330E-1;5.587125421E-1;-1.880929470E0;9.285180092E0
5.073354160E-1;5.970401168E-1;-1.878534079E0;9.364231110E0
5.097975000E-1;6.569271684E-1;-1.892906666E0;9.443282127E0
5.122595830E-1;6.760910153E-1;-1.890511274E0;9.452863693E0
5.147216660E-1;6.401587129E-1;-1.859370232E0;9.531914711E0
5.171838020E-1;6.257858872E-1;-1.847392797E0;9.553474426E0
5.196532810E-1;6.114130616E-1;-1.842601776E0;9.591801643E0
5.221153640E-1;5.706898570E-1;-1.789901257E0;9.634920120E0
5.245774480E-1;6.281813979E-1;-1.794692278E0;9.663666725E0
5.270395310E-1;6.377633214E-1;-1.773132801E0;9.584615707E0
5.295016660E-1;5.754808784E-1;-1.732409716E0;9.615756035E0
5.319636980E-1;5.706898570E-1;-1.701268435E0;9.661270142E0
5.344258330E-1;5.587125421E-1;-1.638986111E0;9.630128860E0
5.368878640E-1;5.323622823E-1;-1.598263025E0;9.723553658E0
5.393500000E-1;5.395486951E-1;-1.610240340E0;9.706784248E0
5.418120830E-1;5.108029246E-1;-1.607844830E0;9.749903679E0
5.442741660E-1;5.850628018E-1;-1.576703668E0;9.742715836E0
5.467362500E-1;5.443395972E-1;-1.567121744E0;9.790626526E0
5.492057810E-1;4.940345883E-1;-1.559935331E0;9.814580917E0
5.516678640E-1;4.341476560E-1;-1.583890080E0;9.843326569E0
5.541299480E-1;4.149838090E-1;-1.600658536E0;9.788229942E0
5.565920310E-1;3.694698215E-1;-1.571912766E0;9.816976547E0
5.590541660E-1;3.503058553E-1;-1.600658536E0;9.864886284E0
5.615161980E-1;3.742606044E-1;-1.658149958E0;9.807394028E0
5.639783330E-1;3.574922681E-1;-1.629404187E0;9.828954697E0
5.664403640E-1;3.934245706E-1;-1.648568034E0;9.824163437E0
5.689025000E-1;3.934245706E-1;-1.667731881E0;9.771462440E0
5.713645830E-1;3.766561151E-1;-1.648568034E0;9.759485245E0
5.738266660E-1;4.077973962E-1;-1.691686630E0;9.742715836E0
5.762887500E-1;4.772662520E-1;-1.686895609E0;9.690015793E0
5.787520830E-1;5.108029246E-1;-1.660545349E0;9.680434227E0
5.812141660E-1;6.185994744E-1;-1.686895609E0;9.709179878E0
5.836762500E-1;7.072321773E-1;-1.696477652E0;9.656478882E0
5.861383330E-1;7.431643605E-1;-1.672522783E0;9.577427864E0
5.886004160E-1;7.814920545E-1;-1.650963545E0;9.527123451E0
5.910625000E-1;7.623280883E-1;-1.677313685E0;9.464840889E0
5.935246350E-1;7.479552627E-1;-1.689291120E0;9.388186455E0
5.959866660E-1;7.479552627E-1;-1.725223422E0;9.316321373E0
5.984488020E-1;7.575373054E-1;-1.708454967E0;9.321112633E0
6.009108850E-1;7.743056417E-1;-1.727618814E0;9.354649544E0
6.033729690E-1;7.623280883E-1;-1.713245988E0;9.359439850E0
6.058350520E-1;7.287915349E-1;-1.710850477E0;9.388186455E0
6.082838020E-1;6.928592324E-1;-1.694082141E0;9.407349586E0
6.107458850E-1;6.257858872E-1;-1.713245988E0;9.407349586E0
6.132079690E-1;5.563170314E-1;-1.768342018E0;9.469632149E0
6.156700520E-1;5.395486951E-1;-1.797087669E0;9.479214668E0
6.181321350E-1;4.964299798E-1;-1.768342018E0;9.524727821E0
6.205942190E-1;4.077973962E-1;-1.792296648E0;9.625338554E0
6.230563540E-1;3.766561151E-1;-1.801878691E0;9.570241928E0
6.255183850E-1;4.149838090E-1;-1.840206146E0;9.543891907E0
6.279805210E-1;3.383285403E-1;-1.876138449E0;9.536705017E0
6.304426040E-1;3.550968766E-1;-1.871347427E0;9.553474426E0
6.329046870E-1;3.263511062E-1;-1.943212032E0;9.548683167E0
6.353667710E-1;2.976053357E-1;-1.974353075E0;9.431303978E0
6.378604690E-1;2.832325101E-1;-1.986330509E0;9.433700562E0
6.403225520E-1;1.778313518E-1;-2.043822050E0;9.400163651E0
6.427846350E-1;1.083625555E-1;-2.110895395E0;9.335485458E0
6.452467190E-1;4.368466139E-2;-2.091731548E0;9.280388832E0
6.477088020E-1;-1.000440717E-1;-2.216296434E0;9.251643181E0
6.501708850E-1;-1.647219658E-1;-2.257019520E0;9.194151878E0
6.526330210E-1;-1.743039489E-1;-2.228273630E0;9.119892120E0
6.550950520E-1;-1.982586980E-1;-2.257019520E0;9.110310555E0
6.575571870E-1;-2.006541491E-1;-2.343256712E0;9.033655167E0
6.600192190E-1;-1.934677362E-1;-2.429493904E0;9.098333359E0
6.624813540E-1;-1.287897825E-1;-2.455844164E0;9.098333359E0
6.649434370E-1;-8.327573538E-2;-2.479799032E0;9.026468277E0
6.674161980E-1;-2.338874340E-2;-2.451053143E0;8.959395409E0
6.698782810E-1;4.368466139E-2;-2.496567488E0;8.990536690E0
6.723403640E-1;1.035715938E-1;-2.520522356E0;9.009699821E0
6.748024480E-1;1.203399301E-1;-2.518126726E0;8.930648804E0
6.772645830E-1;2.257409692E-1;-2.527708769E0;8.894717216E0
6.797266140E-1;3.143737912E-1;-2.532499552E0;8.794107437E0
6.821887500E-1;3.239555955E-1;-2.578013659E0;8.729429245E0
6.846507810E-1;3.431194425E-1;-2.616341352E0;8.712660789E0
6.871129160E-1;2.976053357E-1;-2.623527765E0;8.595282555E0
6.895750000E-1;2.329273820E-1;-2.625923157E0;8.590491295E0
6.920370830E-1;2.161591649E-1;-2.637900829E0;8.544977188E0
6.944991660E-1;1.802268624E-1;-2.681019306E0;8.602469444E0
6.969687500E-1;1.371083856E-1;-2.664251089E0;8.612051010E0
6.994308330E-1;1.634585261E-1;-2.690601349E0;8.683915138E0
7.018929160E-1;1.490857005E-1;-2.731324196E0;8.707870483E0
7.043550000E-1;1.083625555E-1;-2.738510847E0;8.810874939E0
7.068171350E-1;1.874133945E-1;-2.700182915E0;8.897111893E0
