"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
1.243752600E-1;-3.149139404E0;3.539212799E1;-4.061762238E1
1.343752600E-1;-1.875125885E0;3.536411285E1;-3.998567963E1
1.443752600E-1;1.301822662E0;3.529010773E1;-4.064710236E1
1.543752600E-1;-1.274982452E0;3.703246307E1;-4.132400513E1
1.643752600E-1;-1.220859528E0;3.422494125E1;-4.059465790E1
1.743752600E-1;-1.902774811E0;3.648416901E1;-4.194235229E1
1.843752600E-1;-1.233528137E0;3.478553391E1;-4.125280762E1
1.943752600E-1;-1.864765167E0;3.480237961E1;-3.996788788E1
2.043752600E-1;-5.976753235E-1;3.477096176E1;-4.125701904E1
2.143752600E-1;4.623413086E-2;3.419351959E1;-4.188379669E1
2.243752600E-1;-3.787296295E0;3.540556717E1;-4.125376129E1
2.343752600E-1;-5.999794006E-1;3.476982498E1;-4.189738464E1
2.443752600E-1;-1.826755524E0;3.312059402E1;-3.799342346E1
2.543752600E-1;-1.235832214E0;3.478439713E1;-4.189317322E1
2.643752600E-1;-5.746421814E-1;3.364863586E1;-4.058106995E1
2.743752600E-1;-3.128414154E0;3.426866531E1;-4.058202362E1
2.843752600E-1;6.843910217E-1;3.418008423E1;-4.124765015E1
2.943752600E-1;-6.241493225E-1;3.645842361E1;-4.002970123E1
3.043752600E-1;-1.225471497E0;3.422266769E1;-4.187537384E1
3.143752600E-1;-1.225471497E0;3.422266769E1;-4.187537384E1
3.243752600E-1;-1.220859528E0;3.422494125E1;-4.059465790E1
3.343752600E-1;-1.220859528E0;3.422494125E1;-4.059465790E1
3.443752600E-1;-1.867073059E0;3.480124664E1;-4.060824585E1
3.543752600E-1;-1.867073059E0;3.480124664E1;-4.060824585E1
3.643752600E-1;-1.879741669E0;3.536184311E1;-4.126639557E1
3.743752600E-1;-1.220859528E0;3.422494125E1;-4.059465790E1
3.843752600E-1;-1.895854950E0;3.648757172E1;-4.002127838E1
3.943752600E-1;-6.057319641E-1;3.533383179E1;-4.063446808E1
4.043752600E-1;-1.228912354E0;3.478780365E1;-3.997209930E1
4.143752600E-1;-1.877433777E0;3.536297989E1;-4.062604523E1
4.243752600E-1;4.623413086E-2;3.419351959E1;-4.188379669E1
4.343752600E-1;-3.136466980E0;3.483152771E1;-3.995946503E1
4.443752600E-1;5.890274048E-2;3.363292313E1;-4.122563934E1
4.543752600E-1;-1.869380951E0;3.480010986E1;-4.124859619E1
4.643752600E-1;-5.792541504E-1;3.364636230E1;-4.186178589E1
4.743752600E-1;-1.228912354E0;3.478780365E1;-3.997209930E1
4.843752600E-1;-1.212802887E0;3.366207123E1;-4.121721649E1
4.943752600E-1;-1.871685028E0;3.479897308E1;-4.188896179E1
5.043752600E-1;-6.034240723E-1;3.533496475E1;-3.999410248E1
5.143752600E-1;7.387924194E-2;3.307346344E1;-3.992712402E1
5.243752600E-1;-1.898162842E0;3.648643494E1;-4.066163635E1
5.343752600E-1;-5.850028992E-1;3.421036911E1;-4.059886932E1
5.443752600E-1;-5.930595398E-1;3.477323151E1;-3.997631073E1
5.543752600E-1;6.866989136E-1;3.418122101E1;-4.060729218E1
5.643752600E-1;-1.231220245E0;3.478667068E1;-4.061245728E1
5.743752600E-1;-5.826950073E-1;3.421150208E1;-3.995851135E1
5.843752600E-1;-5.850028992E-1;3.421036911E1;-4.059886932E1
5.943752600E-1;-1.231220245E0;3.478667068E1;-4.061245728E1
6.043752600E-1;-5.953674316E-1;3.477209854E1;-4.061666870E1
6.143752600E-1;-5.826950073E-1;3.421150208E1;-3.995851135E1
6.243752600E-1;-5.873107910E-1;3.420923233E1;-4.123922729E1
6.343752600E-1;3.817367554E-2;3.475638580E1;-4.126123047E1
6.443752600E-1;5.084609985E-2;3.419579315E1;-4.060308075E1
6.543752600E-1;-5.999794006E-1;3.476982498E1;-4.189738464E1
6.643752600E-1;-3.136466980E0;3.483152771E1;-3.995946503E1
6.743752600E-1;-6.057319641E-1;3.533383179E1;-4.063446808E1
6.843752600E-1;-3.149139404E0;3.539212799E1;-4.061762238E1
6.943752600E-1;-1.262310028E0;3.647186279E1;-4.066584778E1
7.043752600E-1;-1.241584778E0;3.534840393E1;-4.063025665E1
7.143752600E-1;-3.130722046E0;3.426752853E1;-4.122238159E1
7.243752600E-1;-1.844036102E0;3.367891693E1;-3.993228912E1
7.343752600E-1;-1.898162842E0;3.648643494E1;-4.066163635E1
7.443752600E-1;-5.873107910E-1;3.420923233E1;-4.123922729E1
7.543752600E-1;-3.128414154E0;3.426866531E1;-4.058202362E1
7.643752600E-1;-5.976753235E-1;3.477096176E1;-4.125701904E1
7.743752600E-1;-3.174476624E0;3.651331711E1;-4.193392944E1
7.843752600E-1;-3.130722046E0;3.426752853E1;-4.122238159E1
7.943752600E-1;-1.223167419E0;3.422380447E1;-4.123501587E1
8.043752600E-1;-3.122661591E0;3.370465851E1;-4.184494019E1
8.143752600E-1;-3.151447296E0;3.539099121E1;-4.125797272E1
8.243752600E-1;-1.867073059E0;3.480124664E1;-4.060824585E1
8.343752600E-1;-3.753898621E0;3.372150803E1;-4.056001282E1
8.443752600E-1;-3.120357513E0;3.370579529E1;-4.120458221E1
8.543752600E-1;-1.243892670E0;3.534726715E1;-4.127060699E1
8.643752600E-1;-1.215106964E0;3.366093445E1;-4.185757446E1
8.743752600E-1;-4.417400360E0;3.485614014E1;-4.251246643E1
8.843752600E-1;-3.748149872E0;3.315750504E1;-4.182292938E1
8.943752600E-1;-3.169864655E0;3.651558685E1;-4.065321350E1
9.043752600E-1;-3.760818481E0;3.371810150E1;-4.248107910E1
9.143752600E-1;-1.855571747E0;3.367324066E1;-4.313407898E1
9.243752600E-1;-1.871685028E0;3.479897308E1;-4.188896179E1
9.343752600E-1;-4.356357574E0;3.205202866E1;-3.986205292E1
9.443752600E-1;-4.356357574E0;3.205202866E1;-3.986205292E1
9.543752600E-1;-3.120357513E0;3.370579529E1;-4.120458221E1
9.643752600E-1;-3.120357513E0;3.370579529E1;-4.120458221E1
9.743752600E-1;-1.871685028E0;3.479897308E1;-4.188896179E1
9.843752600E-1;-4.404727936E0;3.429554367E1;-4.185431671E1
9.943752600E-1;-3.772319794E0;3.484610367E1;-3.995525360E1
1.004375260E0;-3.138774872E0;3.483039474E1;-4.059982300E1
1.014375260E0;-4.408172607E0;3.486067963E1;-3.995104218E1
1.024375260E0;-3.774627686E0;3.484497070E1;-4.059561157E1
1.034375260E0;-4.400115967E0;3.429781723E1;-4.057360077E1
1.044375260E0;-3.745845795E0;3.315864182E1;-4.118257141E1
1.054375260E0;-3.776935577E0;3.484383392E1;-4.123596191E1
1.064375260E0;-3.128414154E0;3.426866531E1;-4.058202362E1
1.074375260E0;-3.774627686E0;3.484497070E1;-4.059561157E1
1.084375260E0;-1.859016418E0;3.423838043E1;-4.123080444E1
1.094375260E0;-4.446182251E0;3.654246521E1;-4.192550659E1
1.104375260E0;-1.848651886E0;3.367664719E1;-4.121300507E1
1.114375260E0;-4.420845032E0;3.542127991E1;-4.060919952E1
1.124375260E0;-1.905082703E0;3.648303223E1;-4.258270264E1
1.134375260E0;-3.151447296E0;3.539099121E1;-4.125797272E1
1.144375260E0;-3.761955261E0;3.428437424E1;-3.993745422E1
1.154375260E0;-5.953674316E-1;3.477209854E1;-4.061666870E1
1.164375260E0;-5.059001923E0;3.543471527E1;-4.124533844E1
1.174375260E0;-1.260002136E0;3.647299957E1;-4.002548981E1
1.184375260E0;-1.908523560E0;3.704817200E1;-4.067943573E1
1.194375260E0;-3.789600372E0;3.540443039E1;-4.189411926E1
1.204375260E0;-1.257694244E0;3.647413635E1;-3.938513184E1
1.214375260E0;-1.241584778E0;3.534840393E1;-4.063025665E1
1.224375260E0;-3.169864655E0;3.651558685E1;-4.065321350E1
1.234375260E0;-1.877433777E0;3.536297989E1;-4.062604523E1
1.244375260E0;-1.900470734E0;3.648530197E1;-4.130199432E1
1.254375260E0;-1.236968994E0;3.535067368E1;-3.934954071E1
1.264375260E0;-1.898162842E0;3.648643494E1;-4.066163635E1
1.274375260E0;-1.879741669E0;3.536184311E1;-4.126639557E1
1.284375260E0;-1.260002136E0;3.647299957E1;-4.002548981E1
1.294375260E0;-3.805717468E0;3.653015900E1;-4.064900208E1
1.304375260E0;-3.153751373E0;3.538985443E1;-4.189833069E1
1.314375260E0;-1.898162842E0;3.648643494E1;-4.066163635E1
1.324375260E0;-1.236968994E0;3.535067368E1;-3.934954071E1
1.334375260E0;-1.903907776E0;3.705044174E1;-3.939871979E1
1.344375260E0;-1.239276886E0;3.534953690E1;-3.998989105E1
1.354375260E0;-1.895854950E0;3.648757172E1;-4.002127838E1
1.364375260E0;-1.914272308E0;3.761217117E1;-3.941651917E1
1.374375260E0;-1.875125885E0;3.536411285E1;-3.998567963E1
1.384375260E0;-1.886627197E0;3.649211121E1;-3.745985413E1
1.394375260E0;3.473663330E-2;3.532152557E1;-3.935796356E1
1.404375260E0;-1.270366669E0;3.703472900E1;-4.004328918E1
1.414375260E0;-1.236968994E0;3.535067368E1;-3.934954071E1
1.424375260E0;-1.263446808E0;3.703813934E1;-3.812222290E1
1.434375260E0;-3.167556763E0;3.651672363E1;-4.001285553E1
1.444375260E0;-1.257694244E0;3.647413635E1;-3.938513184E1
1.454375260E0;-1.864765167E0;3.480237961E1;-3.996788788E1
1.464375260E0;-1.921195984E0;3.760876465E1;-4.133758545E1
1.474375260E0;-1.262310028E0;3.647186279E1;-4.066584778E1
1.484375260E0;-5.976753235E-1;3.477096176E1;-4.125701904E1
1.494375260E0;-1.847480774E0;3.424405670E1;-3.802902222E1
1.504375260E0;-1.211631775E0;3.422948074E1;-3.803323364E1
1.514375260E0;-1.233528137E0;3.478553391E1;-4.125280762E1
1.524375260E0;-6.080398560E-1;3.533269501E1;-4.127481842E1
1.534375260E0;-6.034240723E-1;3.533496475E1;-3.999410248E1
1.544375260E0;3.473663330E-2;3.532152557E1;-3.935796356E1
1.554375260E0;-1.241584778E0;3.534840393E1;-4.063025665E1
1.564375260E0;-1.241584778E0;3.534840393E1;-4.063025665E1
1.574375260E0;3.012084961E-2;3.531925583E1;-4.063867950E1
