"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-4.734355211E-2,8.776554108E0,4.189996719E0
5.174036500E-2,4.847556353E-2,8.735831261E0,4.149273872E0
1.034038550E-1,1.131535172E-1,8.822069168E0,4.491827965E0
1.551421360E-1,5.356967449E-3,8.759786606E0,4.501409531E0
2.068745320E-1,1.323173642E-1,8.644803047E0,4.417567253E0
2.585985420E-1,-3.536617756E-2,8.807696342E0,4.357680321E0
3.102917710E-1,-1.859778166E-2,8.764576912E0,4.343308449E0
3.620173440E-1,-9.525310993E-2,8.807696342E0,4.300189018E0
4.137437500E-1,-5.452996492E-2,8.831649780E0,4.350494385E0
4.654688550E-1,4.847556353E-2,8.750204086E0,4.566087723E0
5.171534900E-1,-9.015858173E-3,8.699899673E0,4.472663879E0
5.688918750E-1,1.490857005E-1,8.762182236E0,4.870312691E0
6.206035940E-1,1.323173642E-1,8.647199631E0,4.573273659E0
6.723196360E-1,1.538766026E-1,8.711876869E0,4.645137787E0
7.240215630E-1,1.898087859E-1,8.647199631E0,4.307375908E0
7.757594800E-1,1.418992877E-1,8.630431175E0,4.755330086E0
8.274807820E-1,1.945998073E-1,8.642408371E0,4.805635452E0
8.792124480E-1,2.736504674E-1,8.695108414E0,4.757725716E0
9.309004690E-1,1.922042966E-1,8.608871460E0,4.510991096E0
9.826481250E-1,1.706450582E-1,8.632825851E0,4.592437744E0
1.034381823E0,2.952099442E-1,8.587311745E0,4.815217018E0
1.086076042E0,2.760459781E-1,8.651989937E0,4.652324677E0
1.137763490E0,2.233454585E-1,8.635221481E0,4.697838783E0
1.189515938E0,3.407240510E-1,8.620848656E0,4.776889801E0
1.241219115E0,2.401139140E-1,8.630431175E0,4.685860634E0
1.292955573E0,3.263511062E-1,8.604080200E0,4.719397545E0
1.344646511E0,3.431194425E-1,8.623244286E0,4.522968292E0
1.396385938E0,2.784414887E-1,8.611267090E0,4.762516975E0
1.448107240E0,2.473002076E-1,8.649594307E0,4.685860634E0
1.499826563E0,2.880234122E-1,8.628035545E0,4.700234413E0
1.551543959E0,2.952099442E-1,8.589707375E0,4.767307281E0
1.603263907E0,2.808369994E-1,8.647199631E0,4.685860634E0
1.654977240E0,3.694698215E-1,8.613662720E0,4.839172363E0
1.706698334E0,3.646788001E-1,8.635221481E0,4.728980064E0
1.758417292E0,3.838426471E-1,8.623244286E0,4.573273659E0
1.810134948E0,2.976053357E-1,8.616057396E0,4.846358299E0
1.861857657E0,3.550968766E-1,8.548984528E0,4.678674698E0
1.913565365E0,3.047917485E-1,8.668758392E0,4.788866997E0
1.965280469E0,3.215600848E-1,8.625639915E0,4.714607239E0
2.017023021E0,3.886335492E-1,8.620848656E0,4.640347481E0
2.068761042E0,2.976053357E-1,8.623244286E0,4.664301872E0
2.120443803E0,4.748707414E-1,8.539402008E0,4.721793175E0
2.172163542E0,3.095827699E-1,8.618453026E0,4.702629089E0
2.223916980E0,3.838426471E-1,8.628035545E0,4.736166954E0
2.275635625E0,3.000008464E-1,8.594498634E0,4.671488762E0
2.327349740E0,4.916391969E-1,8.601684570E0,4.681070328E0
2.379069375E0,3.574922681E-1,8.604080200E0,4.688256264E0
2.430788855E0,3.910290599E-1,8.632825851E0,4.748143196E0
2.482507188E0,3.263511062E-1,8.589707375E0,4.793658257E0
2.534209063E0,2.952099442E-1,8.592103004E0,4.808030128E0
2.585908178E0,3.383285403E-1,8.599288940E0,4.671488762E0
2.637625886E0,2.904189229E-1,8.606475830E0,4.700234413E0
2.689329688E0,2.688596845E-1,8.704689980E0,4.858335495E0
2.741060105E0,3.023962379E-1,8.620848656E0,4.707420349E0
