Absolut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time;hip-centerX;Y;Z;W;spineX;Y;Z;W;shoulder-centerX;Y;Z;W;headX;Y;Z;W;shoulder-leftX;Y;Z;W;elbow-leftX;Y;Z;W;wrist-leftX;Y;Z;W;hand-leftX;Y;Z;W;shoulder-rightX;Y;Z;W;elbow-rightX;Y;Z;W;wrist-rightX;Y;Z;W;hand-rightX;Y;Z;W;hip-leftX;Y;Z;W;knee-leftX;Y;Z;W;ankle-leftX;Y;Z;W;foot-leftX;Y;Z;W;hip-rightX;Y;Z;W;knee-rightX;Y;Z;W;ankle-rightX;Y;Z;W;foot-rightX;Y;Z;W
1607314464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607314464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607314464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607314464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607314465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607314465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607314465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1607314466;-0.00982272;0.993157;0.0517238;0.104244;-0.0309675;0.939209;0.326287;0.102294;0.0167968;0.992979;-0.0256327;0.114251;0.0448449;0.983629;-0.132292;0.113847;0.839058;-0.536725;0.0888672;-0.00331875;0.736969;-0.670834;0.0758236;-0.0332952;0.740962;-0.663456;0.0914486;-0.0493913;-0.672154;0.74018;-0.00146768;-0.0184545;0.817766;0.554958;0.0987236;0.116335;0.740138;0.581944;0.280494;-0.186711;0.730431;0.593733;0.235538;-0.241814;0.724791;0.601225;0.252811;-0.222021;0.917432;-0.380496;0.0756041;-0.0884653;0.991386;-0.0493788;0.100162;-0.0684353;0.98627;-0.00416878;0.108018;-0.124849;-0.80307;-0.0554062;-0.101654;0.58453;0.917621;0.38004;0.116018;-0.00904761;0.994271;0.00112939;0.104705;0.0214877;0.986464;-0.112321;0.110396;0.0456602;0.86841;-0.0422627;0.15089;-0.470437
1607314466;0.0103493;0.992737;0.0634658;0.101674;-0.0310363;0.938861;0.327785;0.100668;0.0140337;0.993333;-0.0129822;0.113686;0.0599748;0.984815;-0.114841;0.115562;0.843007;-0.530301;0.0874705;-0.0216647;0.722468;-0.682015;0.0918907;-0.0667181;0.725502;-0.6794;0.0895467;-0.0635933;-0.638423;0.769289;-0.0149328;0.0196668;0.816615;0.559859;0.100316;0.0981514;0.70182;0.539246;0.346967;-0.310284;0.673333;0.569888;0.322481;-0.343302;0.662854;0.582627;0.342395;-0.322392;0.914468;-0.386501;0.0699629;-0.0973171;0.990815;-0.078571;0.0983697;-0.0493445;0.992983;-0.0336484;0.101236;-0.0510272;-0.829936;-0.0315245;-0.110412;0.545914;0.92132;0.369871;0.118211;-0.0197866;0.994827;-0.010772;0.100599;0.0091429;0.989854;-0.0954509;0.10262;0.0233956;0.867408;-0.0281083;0.138232;-0.477184
1607314466;0.00498865;0.988019;0.0651924;0.139799;-0.0614679;0.930804;0.33221;0.139505;-0.000786529;0.98782;-0.0142822;0.154941;0.0644628;0.977536;-0.12108;0.160023;0.843379;-0.521124;0.123566;-0.0432908;0.709235;-0.681758;0.138692;-0.113826;0.719653;-0.679388;0.114275;-0.0864417;-0.601206;0.792001;-0.0683723;0.0813071;0.807272;0.561883;0.133681;0.12136;0.679238;0.52566;0.376889;-0.346804;0.661448;0.539103;0.32168;-0.410337;0.650782;0.554111;0.345183;-0.387676;0.914975;-0.372863;0.10543;-0.112598;0.988193;-0.0544442;0.139756;0.0312748;0.988557;-0.0372954;0.138067;0.0479803;0.870608;0.0524207;0.144509;-0.467344;0.913204;0.377179;0.154132;-0.00610852;0.989456;0.0160269;0.140436;-0.0315998;0.987933;-0.0524279;0.137188;-0.0491783;-0.85422;-0.00318439;-0.137993;0.501255
