t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w
0;33;150;0;0;0;0;0;0;0;0;0;0;0;0;390;-346;18723;-0,349304;-0,477905;0,136963;-0,794312
0;33;176;0,3354886;-0,6962526;0,897306;-0,1784684;-0,5053739;1,134161;0,09081632;-0,1629919;0,8074456;-0,04766016;0,2753775;1,067394;390;-346;18723;-0,349304;-0,477905;0,136963;-0,794312
0;33;188;0;0;0;0;0;0;0;0;0;0;0;0;390;-346;18723;-0,349304;-0,477905;0,136963;-0,794312
0;33;201;0,3348116;-0,6971317;0,8992465;-0,1764517;-0,503749;1,133664;0,09170099;-0,1636081;0,8098139;-0,04799629;0,275198;1,067849;452;-294;18735;-0,350281;-0,476807;0,138611;-0,794251
0;33;213;0;0;0;0;0;0;0;0;0;0;0;0;452;-294;18735;-0,350281;-0,476807;0,138611;-0,794251
0;33;224;0;0;0;0;0;0;0;0;0;0;0;0;439;-327;18742;-0,350586;-0,476196;0,139587;-0,794312
0;33;237;0,3340836;-0,6979319;0,9009144;-0,2161127;-0,4403498;1,13834;0,09333424;-0,1643135;0,8132755;-0,04863708;0,2747829;1,06887;439;-327;18742;-0,350586;-0,476196;0,139587;-0,794312
0;33;248;0;0;0;0;0;0;0;0;0;0;0;0;441;-404;18733;-0,351501;-0,474792;0,141968;-0,794312
0;33;260;0;0;0;0;0;0;0;0;0;0;0;0;441;-404;18733;-0,351501;-0,474792;0,141968;-0,794312
0;33;273;0,3332934;-0,6986626;0,9023471;-0,0913437;-0,4617816;1,15111;0,094791;-0,1648552;0,8166386;-0,04926134;0,2744239;1,069846;463;-479;18778;-0,3526;-0,473633;0,14447;-0,794067
0;33;284;0;0;0;0;0;0;0;0;0;0;0;0;463;-479;18778;-0,3526;-0,473633;0,14447;-0,794067
0;33;296;0;0;0;0;0;0;0;0;0;0;0;0;467;-495;18918;-0,355347;-0,47113;0,148987;-0,793518
0;33;309;0,3322995;-0,6994408;0,9038857;-0,0948509;-0,4639356;1,153703;0,09617397;-0,1653547;0,819488;-0,05040659;0,2739337;1,071841;467;-495;18918;-0,355347;-0,47113;0,148987;-0,793518
0;33;320;0;0;0;0;0;0;0;0;0;0;0;0;539;-653;18986;-0,357788;-0,468872;0,152954;-0,79303
0;33;332;0;0;0;0;0;0;0;0;0;0;0;0;539;-653;18986;-0,357788;-0,468872;0,152954;-0,79303
0;33;343;0,3310881;-0,7001424;0,905273;-0,04678664;-0,4825548;1,148804;0,09733282;-0,1658209;0,8219879;-0,05190013;0,2734557;1,074559;515;-590;19216;-0,36322;-0,464722;0,159546;-0,791687
0;33;355;0;0;0;0;0;0;0;0;0;0;0;0;515;-590;19216;-0,36322;-0,464722;0,159546;-0,791687
0;33;367;0;0;0;0;0;0;0;0;0;0;0;0;515;-590;19216;-0,36322;-0,464722;0,159546;-0,791687
0;33;379;0,3292192;-0,7008959;0,9066219;-0,02402125;-0,4903694;1,145372;0,09818459;-0,1661676;0,824161;-0,05373527;0,2729995;1,077905;436;-461;19342;-0,368103;-0,461365;0,164368;-0,790344
0;33;390;0;0;0;0;0;0;0;0;0;0;0;0;436;-461;19342;-0,368103;-0,461365;0,164368;-0,790344
0;33;403;0,3248666;-0,7022223;0,9090653;-0,06689785;-0,5014146;1,14931;0,09846356;-0,1663574;0,8262856;-0,05561772;0,2726467;1,081355;554;-444;19621;-0,376648;-0,454163;0,171692;-0,789001
0;33;414;0;0;0;0;0;0;0;0;0;0;0;0;554;-444;19621;-0,376648;-0,454163;0,171692;-0,789001
0;33;425;0;0;0;0;0;0;0;0;0;0;0;0;790;-230;20049;-0,385925;-0,442688;0,177063;-0,789795
0;33;438;0,3198241;-0,7031601;0,9117319;-0,09707653;-0,5048265;1,149841;0,09861245;-0,1665375;0,8281298;-0,02850065;0,2975793;1,045641;790;-230;20049;-0,385925;-0,442688;0,177063;-0,789795
0;33;450;0;0;0;0;0;0;0;0;0;0;0;0;666;194;19976;-0,392639;-0,43396;0,178345;-0,791077
0;33;461;0;0;0;0;0;0;0;0;0;0;0;0;666;194;19976;-0,392639;-0,43396;0,178345;-0,791077
0;33;474;0,3139318;-0,7036491;0,9153682;-0,1176244;-0,5048116;1,148622;0,09639711;-0,166129;0,8313358;-0,01615234;0,3089092;1,029342;118;533;19811;-0,399902;-0,422668;0,176819;-0,793884
0;33;485;0;0;0;0;0;0;0;0;0;0;0;0;118;533;19811;-0,399902;-0,422668;0,176819;-0,793884
0;33;497;0;0;0;0;0;0;0;0;0;0;0;0;-226;598;20017;-0,403076;-0,415405;0,174377;-0,796631
0;33;510;0,3049665;-0,7038028;0,9200912;-0,06875024;-0,4961436;1,146531;0,09603143;-0,1661735;0,8328681;-0,009179464;0,3156382;1,02023;-226;598;20017;-0,403076;-0,415405;0,174377;-0,796631
0;33;521;0;0;0;0;0;0;0;0;0;0;0;0;-226;598;20017;-0,403076;-0,415405;0,174377;-0,796631
0;33;534;0,2938164;-0,7032906;0,9254233;-0,005921695;-0,4699829;1,140423;0,09537354;-0,166055;0,8345833;-0,004736808;0,3203788;1,014598;-1065;462;19492;-0,410095;-0,404053;0,169922;-0,799866
0;33;545;0;0;0;0;0;0;0;0;0;0;0;0;-1065;462;19492;-0,410095;-0,404053;0,169922;-0,799866
0;33;557;0;0;0;0;0;0;0;0;0;0;0;0;-1768;108;18912;-0,415161;-0,397156;0,16803;-0,801086
0;33;569;0;0;0;0;0;0;0;0;0;0;0;0;-1768;108;18912;-0,415161;-0,397156;0,16803;-0,801086
0;33;580;0,2868181;-0,7030836;0,9303925;0,05519241;-0,4111967;1,12808;0,09961502;-0,1617566;0,8369071;-0,0004149773;0,3247482;1,009905;-2189;367;18426;-0,420959;-0,389954;0,165527;-0,802124
0;33;592;0;0;0;0;0;0;0;0;0;0;0;0;-2189;367;18426;-0,420959;-0,389954;0,165527;-0,802124
0;33;604;0,2698795;-0,7027618;0,9482681;0,08982398;-0,3101757;1,10246;0,1011366;-0,1584371;0,8391256;0,006516332;0,3335813;1,004675;-1935;298;19130;-0,418762;-0,38501;0,158264;-0,807129
0;33;616;0;0;0;0;0;0;0;0;0;0;0;0;-1935;298;19130;-0,418762;-0,38501;0,158264;-0,807129
0;33;627;0;0;0;0;0;0;0;0;0;0;0;0;-1840;212;19264;-0,415039;-0,381287;0,151672;-0,812073
0;33;640;0,2601644;-0,702151;0,9667703;0,1057461;-0,2433749;1,036376;0,1065811;-0,14722;0,8429766;0,01120384;0,3398587;1,001513;-1840;212;19264;-0,415039;-0,381287;0,151672;-0,812073
0;33;651;0;0;0;0;0;0;0;0;0;0;0;0;-1952;135;19065;-0,409485;-0,375732;0,140198;-0,819519
0;33;663;0;0;0;0;0;0;0;0;0;0;0;0;-1952;135;19065;-0,409485;-0,375732;0,140198;-0,819519
0;33;675;0,2652141;-0,2702534;1,047312;0,1070654;-0,2089135;1,005612;0,1063545;-0,1391123;0,8473343;0,01429554;0,3441042;0,9995648;-1952;135;19065;-0,409485;-0,375732;0,140198;-0,819519
0;33;686;0;0;0;0;0;0;0;0;0;0;0;0;-2181;-24;18985;-0,406921;-0,371521;0,13324;-0,823853
0;33;699;0;0;0;0;0;0;0;0;0;0;0;0;-2181;-24;18985;-0,406921;-0,371521;0,13324;-0,823853
0;33;712;0,2599307;-0,1705602;1,074383;0,1065981;-0,1928842;0,9899573;0,1201538;-0,108845;0,8552997;0,01629162;0,3474992;0,9987502;-2621;-42;18483;-0,405823;-0,36499;0,124207;-0,828674
0;33;731;0;0;0;0;0;0;0;0;0;0;0;0;-2621;-42;18483;-0,405823;-0,36499;0,124207;-0,828674
0;33;745;0,2581152;-0,10547;1,085687;0,0991826;-0,1912468;0,9824545;0,1270572;-0,09441961;0,8601812;0,01651793;0,3512329;1,000685;-2621;-42;18483;-0,405823;-0,36499;0,124207;-0,828674
0;33;757;0;0;0;0;0;0;0;0;0;0;0;0;-2895;-219;17989;-0,400085;-0,356934;0,111572;-0,836792
0;33;769;0;0;0;0;0;0;0;0;0;0;0;0;-2895;-219;17989;-0,400085;-0,356934;0,111572;-0,836792
0;33;780;0,2538762;-0,3450225;1,098832;0,08179039;-0,2119718;0,9915118;0,1416998;-0,07447863;0,8652703;0,01516312;0,3541813;1,004591;-2605;-286;17858;-0,394043;-0,353394;0,104736;-0,84198
0;33;792;0;0;0;0;0;0;0;0;0;0;0;0;-2605;-286;17858;-0,394043;-0,353394;0,104736;-0,84198
0;33;805;0,2529154;-0,3450277;1,106488;0,06844562;-0,2300752;1,002489;0,1543122;-0,059163;0,8705473;0,007012184;0,3548714;1,018675;-2605;-286;17858;-0,394043;-0,353394;0,104736;-0,84198
0;33;817;0;0;0;0;0;0;0;0;0;0;0;0;-2605;-286;17858;-0,394043;-0,353394;0,104736;-0,84198
0;33;829;0;0;0;0;0;0;0;0;0;0;0;0;-2539;-382;17886;-0,389526;-0,351257;0,100647;-0,845459
0;33;842;0,2515053;-0,4018378;1,103251;0,06056141;-0,2413289;1,010199;0,1176882;-0,04334451;0,8807026;-0,002396541;0,3546659;1,032855;-2592;-178;17652;-0,384277;-0,348145;0,095642;-0,849731
0;33;852;0;0;0;0;0;0;0;0;0;0;0;0;-2592;-178;17652;-0,384277;-0,348145;0,095642;-0,849731
0;33;865;0;0;0;0;0;0;0;0;0;0;0;0;-2611;-105;17495;-0,380737;-0,347107;0,092712;-0,852112
0;33;878;0,2494928;-0,4341126;1,097358;0,05470229;-0,2475746;1,017113;0,09272678;-0,03594211;0,8880634;-0,0126579;0,3531541;1,047548;-2611;-105;17495;-0,380737;-0,347107;0,092712;-0,852112
0;33;889;0;0;0;0;0;0;0;0;0;0;0;0;-2563;-56;17510;-0,374512;-0,345459;0,088318;-0,855957
0;33;902;0;0;0;0;0;0;0;0;0;0;0;0;-2563;-56;17510;-0,374512;-0,345459;0,088318;-0,855957
0;33;914;0,2483092;-0,4504085;1,095684;0,05068866;-0,251977;1,022813;0,07866554;-0,03127448;0,89414;-0,0226745;0,3507562;1,062179;-2648;160;17439;-0,367981;-0,343994;0,084534;-0,859741
0;33;925;0;0;0;0;0;0;0;0;0;0;0;0;-2648;160;17439;-0,367981;-0,343994;0,084534;-0,859741
0;33;938;0,2459022;-0,4596072;1,093647;0,04580696;-0,2547825;1,032382;0,06917052;-0,02842356;0,8999307;-0,03210677;0,3481325;1,075419;-2659;283;17350;-0,363831;-0,342957;0,082031;-0,862183
0;33;950;0;0;0;0;0;0;0;0;0;0;0;0;-2659;283;17350;-0,363831;-0,342957;0,082031;-0,862183
0;33;963;0;0;0;0;0;0;0;0;0;0;0;0;-2712;358;17071;-0,358459;-0,341064;0,078918;-0,865479
0;33;978;0,241574;-0,4608213;1,091563;0,03908557;-0,2630318;1,053321;0,1649519;-0,03433826;0,8786838;-0,04310467;0,344651;1,091643;-2712;358;17071;-0,358459;-0,341064;0,078918;-0,865479
0;33;990;0;0;0;0;0;0;0;0;0;0;0;0;-2731;382;16956;-0,355896;-0,3396;0,077454;-0,867249
0;34;4;0,2361094;-0,4572329;1,09217;0,03254577;-0,2814443;1,073974;0,2234125;-0,03093187;0,8635964;-0,05233917;0,3421957;1,105018;-2731;382;16956;-0,355896;-0,3396;0,077454;-0,867249
0;34;16;0;0;0;0;0;0;0;0;0;0;0;0;-2876;448;16863;-0,352539;-0,337219;0,075928;-0,86969
0;34;32;0;0;0;0;0;0;0;0;0;0;0;0;-2876;448;16863;-0,352539;-0,337219;0,075928;-0,86969
0;34;50;0,2177338;-0,4548444;1,095027;0,02849296;-0,2882876;1,084188;0,2451567;-0,02723107;0,8595253;-0,06381777;0,3393258;1,12167;-2961;407;16690;-0,35083;-0,335571;0,074951;-0,871094
0;34;61;0;0;0;0;0;0;0;0;0;0;0;0;-2961;407;16690;-0,35083;-0,335571;0,074951;-0,871094
0;34;75;0,2019646;-0,4520972;1,096998;0,01794538;-0,2799069;1,108689;0,2936367;-0,02346825;0,8404271;-0,07522407;0,3360646;1,137896;-2977;321;16473;-0,350525;-0,331055;0,073914;-0,872986
0;34;88;0;0;0;0;0;0;0;0;0;0;0;0;-2977;321;16473;-0,350525;-0,331055;0,073914;-0,872986
0;34;100;0;0;0;0;0;0;0;0;0;0;0;0;-2932;250;16388;-0,35199;-0,325745;0,072021;-0,874573
0;34;114;0,1845115;-0,4485328;1,101126;0,009840037;-0,2750857;1,119899;0,3126709;-0,02012253;0,8339078;-0,08709433;0,3332148;1,153335;-2932;250;16388;-0,35199;-0,325745;0,072021;-0,874573
0;34;125;0;0;0;0;0;0;0;0;0;0;0;0;-2840;177;16378;-0,352783;-0,323425;0,070557;-0,875244
0;34;141;0,1701465;-0,4452709;1,105734;0,003859273;-0,2715513;1,127801;0,3224375;-0,01077287;0,8333888;-0,09943065;0,3310954;1,166826;-2840;177;16378;-0,352783;-0,323425;0,070557;-0,875244
0;34;152;0;0;0;0;0;0;0;0;0;0;0;0;-2840;177;16378;-0,352783;-0,323425;0,070557;-0,875244
0;34;165;0;0;0;0;0;0;0;0;0;0;0;0;-2669;-252;16162;-0,353272;-0,319824;0,066834;-0,876648
0;34;178;0,2431472;-0,516407;1,086262;-0,001189446;-0,269133;1,134446;0,3143069;0,008532332;0,8473483;-0,1244074;0,3066554;1,129428;-2493;-354;15987;-0,353333;-0,317139;0,063293;-0,877869
0;34;190;0;0;0;0;0;0;0;0;0;0;0;0;-2493;-354;15987;-0,353333;-0,317139;0,063293;-0,877869
0;34;203;0,2737414;-0,56938;1,076432;-0,005400482;-0,2671154;1,139048;0,2997269;0,02521003;0,8645077;-0,1420719;0,2785053;1,070147;-2518;-480;15862;-0,351257;-0,314087;0,055908;-0,88031
0;34;214;0;0;0;0;0;0;0;0;0;0;0;0;-2518;-480;15862;-0,351257;-0,314087;0,055908;-0,88031
0;34;226;0;0;0;0;0;0;0;0;0;0;0;0;-2585;-732;15814;-0,348877;-0,313782;0,050842;-0,881653
