t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;imu_yaw;imu_pitch;imu_roll;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
0;38;625;0;0;0;0;0;0;0;0;0;0;0;0;556;-385;10307;-0,829163;0,496401;0,256763;0,470398;0,387695;-0,265869;0,746765;53,78567;-56,01913;29,76459;0;0;0;1;0;0;0;1;0,1217935;0,4696007;0,2902436;0,8248637;0,3811482;-0,5298961;-0,1954574;0,7319375
0;38;644;0,1017421;-0,9296452;1,068982;-0,4554705;-0,798509;1,172948;0,3825293;-0,3105049;1,009507;-0,3590876;-0,1487051;1,186152;556;-385;10307;-0,829163;0,496401;0,256763;0,470398;0,387695;-0,265869;0,746765;53,78567;-56,01913;29,76459;0;0;0;1;0;0;0;1;0,1224801;0,469486;0,2905297;0,8247266;0,3811544;-0,5302675;-0,1958513;0,73156
0;38;647;0;0;0;0;0;0;0;0;0;0;0;0;556;-385;10307;-0,829163;0,496401;0,256763;0,470398;0,387695;-0,265869;0,746765;53,78567;-56,01913;29,76459;0;0;0;1;0;0;0;1;0,1224801;0,469486;0,2905297;0,8247266;0,3811544;-0,5302675;-0,1958513;0,73156
0;38;651;0;0;0;0;0;0;0;0;0;0;0;0;556;-385;10307;-0,829163;0,496401;0,256763;0,470398;0,387695;-0,265869;0,746765;53,78567;-56,01913;29,76459;0;0;0;1;0;0;0;1;0,1224801;0,469486;0,2905297;0,8247266;0,3811544;-0,5302675;-0,1958513;0,73156
0;38;655;0;0;0;0;0;0;0;0;0;0;0;0;556;-385;10307;-0,829163;0,496401;0,256763;0,470398;0,387695;-0,265869;0,746765;53,78567;-56,01913;29,76459;0;0;0;1;0;0;0;1;0,1224801;0,469486;0,2905297;0,8247266;0,3811544;-0,5302675;-0,1958513;0,73156
0;38;659;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1224801;0,469486;0,2905297;0,8247266;0,3811544;-0,5302675;-0,1958513;0,73156
0;38;663;0,1015076;-0,9296333;1,068668;-0,4556087;-0,7984756;1,172819;0,3824098;-0,3105698;1,009392;-0,3591825;-0,1487306;1,185966;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;668;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;672;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;675;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;679;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;683;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;687;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;690;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;694;0;0;0;0;0;0;0;0;0;0;0;0;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1231766;0,4694282;0,2908119;0,8245564;0,3812197;-0,5306356;-0,196236;0,7311559
0;38;699;0,1013664;-0,9296394;1,068441;-0,455748;-0,7984536;1,172702;0,3822944;-0,3106312;1,009282;-0,3593085;-0,1487703;1,185738;642;-307;10321;-0,827903;0,49715;0,25906;0,469788;0,386902;-0,265381;0,747681;53,65545;-55,89693;29,81662;0;0;0;1;0;0;0;1;0,1238467;0,4693781;0,2910653;0,8243951;0,3812276;-0,530957;-0,1965666;0,7308295
0;38;703;0;0;0;0;0;0;0;0;0;0;0;0;638;-329;10364;-0,826834;0,498038;0,260894;0,469482;0,386108;-0,265076;0,748413;53,5386;-55,78491;29,87419;0;0;0;1;0;0;0;1;0,1238467;0,4693781;0,2910653;0,8243951;0,3812276;-0,530957;-0,1965666;0,7308295
