t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;imu_yaw;imu_pitch;imu_roll;imu_yaw_velocity;imu_pitch_velocity;imu_roll_velocity;kinect_head_orientation.x;kinect_head_orientation.y;kinect_head_orientation.z;kinect_head_orientation.w;kinect_shoulder_center_orientation.x;kinect_shoulder_center_orientation.y;kinect_shoulder_center_orientation.z;kinect_shoulder_center_orientation.w;kinect_shoulder_right_orientation.x;kinect_shoulder_right_orientation.y;kinect_shoulder_right_orientation.z;kinect_shoulder_right_orientation.w;kinect_shoulder_left_orientation.x;kinect_shoulder_left_orientation.y;kinect_shoulder_left_orientation.z;kinect_shoulder_left_orientation.w;kinect_elbow_left_orientation.x;kinect_elbow_left_orientation.y;kinect_elbow_left_orientation.z;kinect_elbow_left_orientation.w;kinect_elbow_right_orientation.x;kinect_elbow_right_orientation.y;kinect_elbow_right_orientation.z;kinect_elbow_right_orientation.w;kinect_wrist_right_orientation.x;kinect_wrist_right_orientation.y;kinect_wrist_right_orientation.z;kinect_wrist_right_orientation.w;kinect_wrist_left_orientation.x;kinect_wrist_left_orientation.y;kinect_wrist_left_orientation.z;kinect_wrist_left_orientation.w;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
1;8;0;0,507785;-0,8035888;1,107762;0,02386276;-0,8787429;1,007598;0,3284809;0,05316085;0,974853;0,2540987;-0,1547998;0,8920861;-0,798911;-0,183059;9,544505;-0,761673;0,394641;0,51392;0,487854;-0,070984;-0,822083;0,284851;132,1882;-49,61189;23,24356;132,1882;-49,61189;23,24356;0,1834206;-0,3937682;-0,02238117;0,9004458;0,1834206;-0,3937682;-0,02238117;0,9004458;0,3576547;-0,7112778;-0,3138199;0,5173821;0,2884414;0,2575651;0,5052822;0,7714608;-0,290441;0,8959665;0,2324407;-0,2426096;0,1626237;0,5940108;0,1432804;0,7747099;-0,3234618;0,8931414;0,2351235;-0,2058831;-0,006726609;0,6514796;-0,04552644;0,7572691;0;0;0;1;0;0;0;1;-0,006726609;0,6514796;-0,04552644;0,7572691;-0,3234618;0,8931414;0,2351235;-0,2058831
1;8;20;0;0;0;0;0;0;0;0;0;0;0;0;-0,798911;-0,183059;9,544505;-0,761673;0,394641;0,51392;0,487854;-0,070984;-0,822083;0,284851;132,1882;-49,61189;23,24356;0;0;0;0,1834206;-0,3937682;-0,02238117;0,9004458;0,1834206;-0,3937682;-0,02238117;0,9004458;0,3576547;-0,7112778;-0,3138199;0,5173821;0,2884414;0,2575651;0,5052822;0,7714608;-0,290441;0,8959665;0,2324407;-0,2426096;0,1626237;0,5940108;0,1432804;0,7747099;-0,3234618;0,8931414;0,2351235;-0,2058831;-0,006726609;0,6514796;-0,04552644;0,7572691;0;0;0;1;0;0;0;1;-0,006726609;0,6514796;-0,04552644;0,7572691;-0,3234618;0,8931414;0,2351235;-0,2058831
1;8;36;0,5072215;-0,8035843;1,10749;0,02417388;-0,8787615;1,007416;0,32833;0,05309949;0,9749414;0,2542089;-0,1546578;0,8924081;-0,687379;-0,183059;9,551779;-0,760525;0,393738;0,516362;0,486633;-0,070862;-0,822876;0,284729;132,3473;-49,50856;23,1866;0,1591034;0,1033287;-0,05696106;0,1832948;-0,3938883;-0,02258996;0,9004137;0,1832948;-0,3938883;-0,02258996;0,9004137;0,3577811;-0,7113214;-0,31388;0,5171981;0,2890025;0,2568186;0,5067639;0,7705272;-0,2904952;0,8960623;0,2323665;-0,242262;0,163725;0,5932318;0,1446358;0,774823;-0,3226294;0,8940494;0,2344357;-0,2040239;-0,006417678;0,651585;-0,04505018;0,7572096;0;0;0;1;0;0;0;1;-0,006417678;0,651585;-0,04505018;0,7572096;-0,3226294;0,8940494;0,2344357;-0,2040239
1;8;45;0;0;0;0;0;0;0;0;0;0;0;0;-0,687379;-0,183059;9,551779;-0,760525;0,393738;0,516362;0,486633;-0,070862;-0,822876;0,284729;132,3473;-49,50856;23,1866;0;0;0;0,1832948;-0,3938883;-0,02258996;0,9004137;0,1832948;-0,3938883;-0,02258996;0,9004137;0,3577811;-0,7113214;-0,31388;0,5171981;0,2890025;0,2568186;0,5067639;0,7705272;-0,2904952;0,8960623;0,2323665;-0,242262;0,163725;0,5932318;0,1446358;0,774823;-0,3226294;0,8940494;0,2344357;-0,2040239;-0,006417678;0,651585;-0,04505018;0,7572096;0;0;0;1;0;0;0;1;-0,006417678;0,651585;-0,04505018;0,7572096;-0,3226294;0,8940494;0,2344357;-0,2040239
1;8;54;0;0;0;0;0;0;0;0;0;0;0;0;-0,687379;-0,183059;9,551779;-0,760525;0,393738;0,516362;0,486633;-0,070862;-0,822876;0,284729;132,3473;-49,50856;23,1866;0;0;0;0,1832948;-0,3938883;-0,02258996;0,9004137;0,1832948;-0,3938883;-0,02258996;0,9004137;0,3577811;-0,7113214;-0,31388;0,5171981;0,2890025;0,2568186;0,5067639;0,7705272;-0,2904952;0,8960623;0,2323665;-0,242262;0,163725;0,5932318;0,1446358;0,774823;-0,3226294;0,8940494;0,2344357;-0,2040239;-0,006417678;0,651585;-0,04505018;0,7572096;0;0;0;1;0;0;0;1;-0,006417678;0,651585;-0,04505018;0,7572096;-0,3226294;0,8940494;0,2344357;-0,2040239
1;8;64;0;0;0;0;0;0;0;0;0;0;0;0;-0,687379;-0,183059;9,551779;-0,760525;0,393738;0,516362;0,486633;-0,070862;-0,822876;0,284729;132,3473;-49,50856;23,1866;0;0;0;0,1832948;-0,3938883;-0,02258996;0,9004137;0,1832948;-0,3938883;-0,02258996;0,9004137;0,3577811;-0,7113214;-0,31388;0,5171981;0,2890025;0,2568186;0,5067639;0,7705272;-0,2904952;0,8960623;0,2323665;-0,242262;0,163725;0,5932318;0,1446358;0,774823;-0,3226294;0,8940494;0,2344357;-0,2040239;-0,006417678;0,651585;-0,04505018;0,7572096;0;0;0;1;0;0;0;1;-0,006417678;0,651585;-0,04505018;0,7572096;-0,3226294;0,8940494;0,2344357;-0,2040239
1;8;73;0,5065303;-0,8036173;1,107071;0,02443624;-0,878778;1,007285;0,32818;0,05304915;0,9750239;0,2544541;-0,1543451;0,8928657;-0,687379;-0,183059;9,551779;-0,760525;0,393738;0,516362;0,486633;-0,070862;-0,822876;0,284729;132,3473;-49,50856;23,1866;0;0;0;0,1831784;-0,3940471;-0,02267393;0,9003658;0,1831784;-0,3940471;-0,02267393;0,9003658;0,3578782;-0,7113911;-0,3139166;0,517013;0,2893575;0,2562015;0,5079933;0,7697895;-0,2905243;0,8961805;0,2322807;-0,2418716;0,1642811;0,5927241;0,1453088;0,7749678;-0,320601;0,8958336;0,2331269;-0,2008709;-0,005974906;0,6517685;-0,04436091;0,757096;0;0;0;1;0;0;0;1;-0,005974906;0,6517685;-0,04436091;0,757096;-0,320601;0,8958336;0,2331269;-0,2008709
1;8;82;0;0;0;0;0;0;0;0;0;0;0;0;-0,687379;-0,183059;9,551779;-0,760525;0,393738;0,516362;0,486633;-0,070862;-0,822876;0,284729;132,3473;-49,50856;23,1866;0;0;0;0,1831784;-0,3940471;-0,02267393;0,9003658;0,1831784;-0,3940471;-0,02267393;0,9003658;0,3578782;-0,7113911;-0,3139166;0,517013;0,2893575;0,2562015;0,5079933;0,7697895;-0,2905243;0,8961805;0,2322807;-0,2418716;0,1642811;0,5927241;0,1453088;0,7749678;-0,320601;0,8958336;0,2331269;-0,2008709;-0,005974906;0,6517685;-0,04436091;0,757096;0;0;0;1;0;0;0;1;-0,005974906;0,6517685;-0,04436091;0,757096;-0,320601;0,8958336;0,2331269;-0,2008709
1;8;90;0;0;0;0;0;0;0;0;0;0;0;0;-0,687379;-0,183059;9,551779;-0,760525;0,393738;0,516362;0,486633;-0,070862;-0,822876;0,284729;132,3473;-49,50856;23,1866;0;0;0;0,1831784;-0,3940471;-0,02267393;0,9003658;0,1831784;-0,3940471;-0,02267393;0,9003658;0,3578782;-0,7113911;-0,3139166;0,517013;0,2893575;0,2562015;0,5079933;0,7697895;-0,2905243;0,8961805;0,2322807;-0,2418716;0,1642811;0,5927241;0,1453088;0,7749678;-0,320601;0,8958336;0,2331269;-0,2008709;-0,005974906;0,6517685;-0,04436091;0,757096;0;0;0;1;0;0;0;1;-0,005974906;0,6517685;-0,04436091;0,757096;-0,320601;0,8958336;0,2331269;-0,2008709
1;8;102;0,5058401;-0,8036566;1,106618;0,02468953;-0,8787832;1,007167;0,3279731;0,05299391;0,9751632;0,2546357;-0,1541019;0,8932794;-0,631613;-0,1576;9,511772;-0,759897;0,392476;0,518109;0,485779;-0,070313;-0,823364;0,28479;132,3981;-49,45788;23,10962;0,05079651;0,05068207;-0,07698059;0,1830281;-0,3942121;-0,02275814;0,900322;0,1830281;-0,3942121;-0,02275814;0,900322;0,3579659;-0,7114687;-0,3139517;0,516824;0,2896118;0,2556807;0,5089706;0,7692213;-0,2905368;0,8963133;0,232182;-0,2414588;0,1646137;0,5923578;0,1457192;0,7751004;-0,3191736;0,8971658;0,2321323;-0,1983338;-0,005736973;0,652106;-0,04377778;0,7568411;0;0;0;1;0;0;0;1;-0,005736973;0,652106;-0,04377778;0,7568411;-0,3191736;0,8971658;0,2321323;-0,1983338
