t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
1;27;895;0;0;0;0;0;0;0;0;0;0;0;0;-69;4;7112;-0,716794;0,357797;0,598416;0,236633;0,380493;-0,083374;0,890076;0;0;0;1;0;0;0;1;0,2564514;0,2642146;0,4766476;0,7982671;-0,3702505;0,8597794;0,2397104;-0,2573579
1;27;910;0;0;0;0;0;0;0;0;0;0;0;0;-54;-18;7103;-0,717541;0,358939;0,596702;0,237671;0,38092;-0,083862;0,889526;0;0;0;1;0;0;0;1;0,2564514;0,2642146;0,4766476;0,7982671;-0,3702505;0,8597794;0,2397104;-0,2573579
1;27;914;0;0;0;0;0;0;0;0;0;0;0;0;-54;-18;7103;-0,717541;0,358939;0,596702;0,237671;0,38092;-0,083862;0,889526;0;0;0;1;0;0;0;1;0,2564514;0,2642146;0,4766476;0,7982671;-0,3702505;0,8597794;0,2397104;-0,2573579
1;27;920;0,1179261;-0,4831916;1,414505;0,1083655;-0,502869;1,351316;0,4573365;-0,3693526;0,9256024;0,266056;-0,3182209;0,8612145;-54;-18;7103;-0,717541;0,358939;0,596702;0,237671;0,38092;-0,083862;0,889526;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;923;0;0;0;0;0;0;0;0;0;0;0;0;-54;-18;7103;-0,717541;0,358939;0,596702;0,237671;0,38092;-0,083862;0,889526;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;928;0;0;0;0;0;0;0;0;0;0;0;0;-54;-18;7103;-0,717541;0,358939;0,596702;0,237671;0,38092;-0,083862;0,889526;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;931;0;0;0;0;0;0;0;0;0;0;0;0;-54;-18;7103;-0,717541;0,358939;0,596702;0,237671;0,38092;-0,083862;0,889526;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;936;0;0;0;0;0;0;0;0;0;0;0;0;-4;4;7122;-0,718328;0,360284;0,595008;0,238709;0,381409;-0,084106;0,889038;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;940;0;0;0;0;0;0;0;0;0;0;0;0;-4;4;7122;-0,718328;0,360284;0,595008;0,238709;0,381409;-0,084106;0,889038;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;943;0;0;0;0;0;0;0;0;0;0;0;0;-4;4;7122;-0,718328;0,360284;0,595008;0,238709;0,381409;-0,084106;0,889038;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;947;0;0;0;0;0;0;0;0;0;0;0;0;-4;4;7122;-0,718328;0,360284;0,595008;0,238709;0,381409;-0,084106;0,889038;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;952;0;0;0;0;0;0;0;0;0;0;0;0;-4;4;7122;-0,718328;0,360284;0,595008;0,238709;0,381409;-0,084106;0,889038;0;0;0;1;0;0;0;1;0,2556766;0,2687172;0,4728223;0,799287;-0,3698657;0,8593907;0,2408778;-0,2581179
1;27;956;0,1148696;-0,4884473;1,418623;0,07080324;-0,4954025;1,345358;0,4573259;-0,368132;0,925147;0,2660311;-0,3181585;0,8611957;-4;4;7122;-0,718328;0,360284;0,595008;0,238709;0,381409;-0,084106;0,889038;0;0;0;1;0;0;0;1;0,2551121;0,2744599;0,4679282;0,8003954;-0,369223;0,8588133;0,2427492;-0,2592043
