t;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;
596;0;0;0;0;0;0;0;0;0;0;0;0;-172;-640;18113;0,494812;0,27478;-0,468933;0,67804;
621;0,06124185;-0,2265353;1,031976;0,1197274;-0,1472334;1,112113;-0,2920162;-0,1687713;0,8975711;-0,3684054;0,2278297;0,865424;-172;-640;18113;0,494812;0,27478;-0,468933;0,67804;
635;0;0;0;0;0;0;0;0;0;0;0;0;-172;-640;18113;0,494812;0,27478;-0,468933;0,67804;
649;0,05917276;-0,2273723;1,031491;0,1193782;-0,1524434;1,118413;-0,2917654;-0,1689832;0,8978752;-0,3741256;0,2269491;0,8596059;89;-734;18249;0,496033;0,271545;-0,471436;0,676697;
666;0;0;0;0;0;0;0;0;0;0;0;0;89;-734;18249;0,496033;0,271545;-0,471436;0,676697;
680;0,05807194;-0,2298867;1,032394;0,119703;-0,1560594;1,123404;-0,2915648;-0,1691607;0,8980978;-0,3740743;0,2261373;0,8591105;89;-734;18249;0,496033;0,271545;-0,471436;0,676697;
692;0;0;0;0;0;0;0;0;0;0;0;0;129;-744;18168;0,496582;0,268921;-0,473633;0,675781;
706;0;0;0;0;0;0;0;0;0;0;0;0;129;-744;18168;0,496582;0,268921;-0,473633;0,675781;
720;0,05113069;-0,2349357;1,031654;0,1194641;-0,158619;1,126596;-0,2584937;-0,05670033;0,9042739;-0,3730975;0,2132321;0,8994337;63;-710;18182;0,496887;0,268005;-0,474487;0,675354;
733;0;0;0;0;0;0;0;0;0;0;0;0;63;-710;18182;0,496887;0,268005;-0,474487;0,675354;
748;0,001738719;-0,3102262;0,9649042;0,1192232;-0,1604032;1,128748;-0,2457898;-0,01377391;0,9067316;-0,3710429;0,2119859;0,9027022;53;-582;18239;0,496948;0,267029;-0,475281;0,67511;
762;0;0;0;0;0;0;0;0;0;0;0;0;53;-582;18239;0,496948;0,267029;-0,475281;0,67511;
775;-0,02543528;-0,3546066;0,9265476;0,1189765;-0,1616868;1,130275;-0,2392172;0,008567706;0,9079196;-0,3698503;0,2070602;0,9183022;-71;-575;18230;0,496643;0,26648;-0,476135;0,674988;
788;0;0;0;0;0;0;0;0;0;0;0;0;-71;-575;18230;0,496643;0,26648;-0,476135;0,674988;
801;0;0;0;0;0;0;0;0;0;0;0;0;-80;-522;18224;0,496399;0,264832;-0,477844;0,674561;
816;-0,03582486;-0,3713216;0,9121521;0,1187372;-0,1626379;1,131368;-0,2358355;0,02005447;0,9084733;-0,3684647;0,2066329;0,9233767;-80;-522;18224;0,496399;0,264832;-0,477844;0,674561;
830;0;0;0;0;0;0;0;0;0;0;0;0;-80;-522;18224;0,496399;0,264832;-0,477844;0,674561;
845;-0,0425978;-0,3819581;0,9029611;0,1180477;-0,1634685;1,131747;-0,2380393;0,0179181;0,9096448;-0,3676929;0,2058266;0,9268647;-257;-518;18195;0,498657;0,258545;-0,482483;0,672058;
857;0;0;0;0;0;0;0;0;0;0;0;0;-257;-518;18195;0,498657;0,258545;-0,482483;0,672058;
874;-0,04605643;-0,3863614;0,899309;0,1173136;-0,164082;1,131928;-0,2163604;-0,03270551;0,9298326;-0,367121;0,2051599;0,9292953;-344;-599;18183;0,501343;0,254089;-0,485413;0,669617;
887;0;0;0;0;0;0;0;0;0;0;0;0;-344;-599;18183;0,501343;0,254089;-0,485413;0,669617;
901;0;0;0;0;0;0;0;0;0;0;0;0;-708;-916;18286;0,507202;0,244873;-0,491028;0,664551;
917;-0,04522967;-0,3861225;0,9011171;0,1163082;-0,1645754;1,131617;-0,2070598;-0,06102797;0,9404179;-0,3652412;0,207055;0,9286542;-708;-916;18286;0,507202;0,244873;-0,491028;0,664551;
930;0;0;0;0;0;0;0;0;0;0;0;0;-708;-916;18286;0,507202;0,244873;-0,491028;0,664551;
945;-0,04192084;-0,3830233;0,9061519;0,1152602;-0,1649442;1,131156;-0,2665328;-0,1545946;0,9183028;-0,3632424;0,2100128;0,9264821;-860;-943;18365;0,524231;0,221619;-0,502869;0,650513;
958;0;0;0;0;0;0;0;0;0;0;0;0;-860;-943;18365;0,524231;0,221619;-0,502869;0,650513;
970;0;0;0;0;0;0;0;0;0;0;0;0;-970;-813;18475;0,531067;0,212524;-0,507568;0,644287;
992;-0,03792788;-0,3791025;0,91212;0,1142387;-0,1652178;1,130665;-0,284879;-0,1766563;0,9194627;-0,3617156;0,2128473;0,9242081;-970;-813;18475;0,531067;0,212524;-0,507568;0,644287;
4;0;0;0;0;0;0;0;0;0;0;0;0;-1043;-510;18676;0,540405;0,19928;-0,514709;0,635071;
19;-0,03402092;-0,3753638;0,9180081;0,1132647;-0,1654858;1,130206;-0,2989108;-0,1936621;0,9170689;-0,3627044;0,2144511;0,9241119;-1043;-510;18676;0,540405;0,19928;-0,514709;0,635071;
32;0;0;0;0;0;0;0;0;0;0;0;0;-1043;-510;18676;0,540405;0,19928;-0,514709;0,635071;
47;-0,0307357;-0,3719966;0,923313;0,1122992;-0,1656694;1,129832;-0,306505;-0,2046313;0,9155797;-0,3628891;0,2160476;0,9237365;-206;-473;19307;0,554321;0,170898;-0,526245;0,621704;
60;0;0;0;0;0;0;0;0;0;0;0;0;-206;-473;19307;0,554321;0,170898;-0,526245;0,621704;
77;-0,02792883;-0,3688043;0,9283366;0,1113586;-0,165855;1,129538;-0,311567;-0,2113478;0,914284;-0,3630187;0,2174064;0,9234554;-207;-412;19859;0,561218;0,153198;-0,531189;0,615906;
91;0;0;0;0;0;0;0;0;0;0;0;0;-207;-412;19859;0,561218;0,153198;-0,531189;0,615906;
103;0;0;0;0;0;0;0;0;0;0;0;0;-581;-275;19025;0,564514;0,144104;-0,533203;0,613342;
118;-0,02585173;-0,3660555;0,9329751;0,1104936;-0,1684034;1,132295;-0,312915;-0,21013;0,9126904;-0,3634971;0,2185048;0,9237689;-581;-275;19025;0,564514;0,144104;-0,533203;0,613342;
131;0;0;0;0;0;0;0;0;0;0;0;0;-426;184;18755;0,569031;0,134277;-0,534363;0,610413;
145;-0,0220255;-0,3631323;0,9412109;0,1160066;-0,1704666;1,138768;-0,3065971;-0,2063463;0,9129674;-0,3654146;0,2193001;0,9266623;-426;184;18755;0,569031;0,134277;-0,534363;0,610413;
159;0;0;0;0;0;0;0;0;0;0;0;0;-426;184;18755;0,569031;0,134277;-0,534363;0,610413;
174;-0,01737089;-0,360558;0,9490914;0,1219093;-0,1715955;1,146033;-0,3051768;-0,2067136;0,9146851;-0,3648107;0,2222949;0,9279524;-644;431;18609;0,566711;0,132385;-0,533203;0,613953;
187;0;0;0;0;0;0;0;0;0;0;0;0;-644;431;18609;0,566711;0,132385;-0,533203;0,613953;
200;0;0;0;0;0;0;0;0;0;0;0;0;-805;509;18413;0,562744;0,135864;-0,532776;0,617188;
213;-0,01884951;-0,3544923;0,9647352;0,1322015;-0,1675254;1,155061;-0,2578066;-0,1839132;0,9255573;-0,3640401;0,2252179;0,9292284;-805;509;18413;0,562744;0,135864;-0,532776;0,617188;
225;0;0;0;0;0;0;0;0;0;0;0;0;-456;488;18642;0,557739;0,138672;-0,531616;0,622131;
239;0;0;0;0;0;0;0;0;0;0;0;0;-456;488;18642;0,557739;0,138672;-0,531616;0,622131;
252;-0,01845878;-0,3511258;0,9773623;0,1307878;-0,1777272;1,166156;-0,2319887;-0,1694507;0,9321814;-0,3153092;0,2551046;0,9033375;-292;497;18747;0,553894;0,14093;-0,529846;0,626526;
266;0;0;0;0;0;0;0;0;0;0;0;0;-292;497;18747;0,553894;0,14093;-0,529846;0,626526;
284;-0,02171082;-0,3438652;0,997535;0,002769758;-0,2781336;1,050944;-0,1347773;-0,2092379;0,979796;-0,2972296;0,2663929;0,8945808;-325;650;18806;0,548035;0,145325;-0,526856;0,633179;
296;0;0;0;0;0;0;0;0;0;0;0;0;-325;650;18806;0,548035;0,145325;-0,526856;0,633179;
310;-0,01982833;-0,4272908;1,01268;-0,05525266;-0,3352198;0,9913546;0,02561766;-0,2395869;1,099824;-0,2869578;0,2846104;0,8920234;-325;650;18806;0,548035;0,145325;-0,526856;0,633179;
324;0;0;0;0;0;0;0;0;0;0;0;0;-512;729;18604;0,539856;0,149597;-0,521973;0,643189;
337;0;0;0;0;0;0;0;0;0;0;0;0;-512;729;18604;0,539856;0,149597;-0,521973;0,643189;
351;-0,02222689;-0,4708272;1,017277;-0,06879703;-0,3681901;0,9669819;0,09839661;-0,1805974;1,149259;-0,2812198;0,298149;0,8912212;-511;754;18573;0,536499;0,151306;-0,519897;0,647217;
364;0;0;0;0;0;0;0;0;0;0;0;0;-511;754;18573;0,536499;0,151306;-0,519897;0,647217;
378;0;0;0;0;0;0;0;0;0;0;0;0;-584;848;18384;0,531189;0,155273;-0,516724;0,653198;
391;-0,03619128;-0,4894384;1,012766;-0,08350969;-0,3794717;0,956767;0,06806742;-0,130423;1,137164;-0,2815516;0,3207918;0,8958341;-584;848;18384;0,531189;0,155273;-0,516724;0,653198;
403;0;0;0;0;0;0;0;0;0;0;0;0;-742;793;18171;0,527527;0,158264;-0,514709;0,657043;
418;-0,05180354;-0,4984596;1,000896;-0,07568584;-0,3759088;0,9639055;-0,03587991;0,0692619;0,9583833;-0,2842214;0,3390571;0,9016981;-742;793;18171;0,527527;0,158264;-0,514709;0,657043;
432;0;0;0;0;0;0;0;0;0;0;0;0;-785;638;18031;0,5224;0,161804;-0,512146;0,662231;
447;-0,06143301;-0,5025086;0,9912111;-0,1164579;-0,3375393;1,038372;-0,02003035;0,1129363;0,9577965;-0,2839301;0,3455901;0,90586;-785;638;18031;0,5224;0,161804;-0,512146;0,662231;
461;0;0;0;0;0;0;0;0;0;0;0;0;-759;532;18018;0,51886;0,164246;-0,510498;0,66571;
474;0;0;0;0;0;0;0;0;0;0;0;0;-759;532;18018;0,51886;0,164246;-0,510498;0,66571;
491;-0,0987347;-0,3189747;0,9405721;-0,1462487;-0,2954132;1,017757;-0,05157622;0,1497547;0,9220908;-0,2855917;0,3525393;0,9101806;-759;532;18018;0,51886;0,164246;-0,510498;0,66571;
504;0;0;0;0;0;0;0;0;0;0;0;0;-792;401;18058;0,509399;0,170105;-0,507874;0,673462;
519;-0,1122188;-0,2082926;0,9290252;-0,1575936;-0,277002;1,007761;-0,06709997;0,1554532;0,9138575;-0,2867026;0,3564622;0,9161394;-792;401;18058;0,509399;0,170105;-0,507874;0,673462;
531;0;0;0;0;0;0;0;0;0;0;0;0;-820;390;17985;0,504822;0,171204;-0,507874;0,676636;
546;-0,1040646;-0,1478552;0,9296755;-0,1633585;-0,2663676;1,002582;-0,07332975;0,1388404;0,921852;-0,2886799;0,3573285;0,9254062;-820;390;17985;0,504822;0,171204;-0,507874;0,676636;
560;0;0;0;0;0;0;0;0;0;0;0;0;-809;418;17981;0,500916;0,170837;-0,50885;0,678894;
573;0;0;0;0;0;0;0;0;0;0;0;0;-809;418;17981;0,500916;0,170837;-0,50885;0,678894;
588;-0,07809616;-0,1071813;0,9308287;-0,1164156;-0,2799744;1,068073;-0,5543798;0,09415454;1,145515;-0,5318323;0,1258086;1,144466;-739;500;17952;0,498352;0,170105;-0,509705;0,680359;
602;0;0;0;0;0;0;0;0;0;0;0;0;-739;500;17952;0,498352;0,170105;-0,509705;0,680359;
617;-0,01285584;-0,1765807;1,045946;-0,08787977;-0,2908547;1,104963;-0,1385926;0,07363868;1,000729;-0,6046068;0,0660417;1,200082;-739;500;17952;0,498352;0,170105;-0,509705;0,680359;
630;0;0;0;0;0;0;0;0;0;0;0;0;-611;731;17588;0,490601;0,169006;-0,511169;0,68512;
646;0,001737927;-0,1692459;1,068765;-0,07323825;-0,2973307;1,122688;-0,1371631;0,07393139;1,015812;-0,6319501;0,04170311;1,212691;-611;731;17588;0,490601;0,169006;-0,511169;0,68512;
658;0;0;0;0;0;0;0;0;0;0;0;0;-543;878;17427;0,485474;0,169128;-0,511658;0,688355;
670;0;0;0;0;0;0;0;0;0;0;0;0;-543;878;17427;0,485474;0,169128;-0,511658;0,688355;
686;0,01809893;-0,1883521;1,09728;-0,06464943;-0,3012768;1,133154;-0,1318019;0,06484832;1,032848;-0,6371215;0,03700474;1,220283;-509;944;17364;0,481995;0,169067;-0,512085;0,690552;
704;0;0;0;0;0;0;0;0;0;0;0;0;-509;944;17364;0,481995;0,169067;-0,512085;0,690552;
728;0,02655639;-0,1963601;1,114483;-0,05889816;-0,3041302;1,140441;-0,08148846;0,06271408;1,037528;-0,6429567;0,03218188;1,228065;-509;944;17364;0,481995;0,169067;-0,512085;0,690552;
742;0;0;0;0;0;0;0;0;0;0;0;0;-334;1193;17072;0,47522;0,16687;-0,513428;0,694702;
758;0,02670539;-0,2049437;1,123491;-0,05487023;-0,3065507;1,145767;-0,5662166;0,06929314;1,195178;-0,6450358;0,03047022;1,234778;-334;1193;17072;0,47522;0,16687;-0,513428;0,694702;
776;0;0;0;0;0;0;0;0;0;0;0;0;-334;1193;17072;0,47522;0,16687;-0,513428;0,694702;
793;0,02413943;-0,2133898;1,124649;-0,05228559;-0,3086368;1,149643;-0,1088923;0,06781682;1,067293;-0,6482941;0,02810634;1,242593;-282;1328;16905;0,469727;0,162964;-0,51593;0,69751;
807;0;0;0;0;0;0;0;0;0;0;0;0;-282;1328;16905;0,469727;0,162964;-0,51593;0,69751;
822;0,02160593;-0,2189139;1,125888;-0,05083602;-0,3106854;1,152607;-0,1260811;0,07230394;1,091882;-0,6450038;0,03270539;1,240402;-282;1328;16905;0,469727;0,162964;-0,51593;0,69751;
835;0;0;0;0;0;0;0;0;0;0;0;0;-201;1454;16804;0,463867;0,159851;-0,519775;0,699341;
851;0,01809313;-0,2236257;1,125338;-0,05116606;-0,3131301;1,155141;0,2516131;0,03920034;0,9118629;-0,6429324;0,03549519;1,240087;-201;1454;16804;0,463867;0,159851;-0,519775;0,699341;
863;0;0;0;0;0;0;0;0;0;0;0;0;-28;1429;16745;0,460144;0,157471;-0,521851;0,700745;
878;0;0;0;0;0;0;0;0;0;0;0;0;-28;1429;16745;0,460144;0,157471;-0,521851;0,700745;
891;-0,02956438;-0,2401156;1,136655;-0,1618877;-0,2957991;1,166377;0,3289035;0,03568394;0,8868873;-0,626117;0,04892143;1,238643;-28;1429;16745;0,460144;0,157471;-0,521851;0,700745;
913;-0,0571396;-0,2489476;1,141481;-0,3250104;-0,282035;1,191254;0,3348773;0,03676282;0,8714693;-0,6190122;0,05482927;1,239235;-3;1364;16566;0,45343;0,154724;-0,524719;0,703613;
927;0;0;0;0;0;0;0;0;0;0;0;0;-3;1364;16566;0,45343;0,154724;-0,524719;0,703613;
942;0;0;0;0;0;0;0;0;0;0;0;0;-3;1364;16566;0,45343;0,154724;-0,524719;0,703613;
956;-0,06874259;-0,2514409;1,144582;-0,4136631;-0,2717584;1,209253;0,3412146;0,04086414;0,8733426;-0,6150439;0,05826552;1,240012;-56;1321;16333;0,445984;0,152161;-0,527161;0,707153;
968;0;0;0;0;0;0;0;0;0;0;0;0;-56;1321;16333;0,445984;0,152161;-0,527161;0,707153;
984;0,1459018;-0,5215222;1,225303;-0,4475515;-0,2673955;1,21577;0,3497952;0,04538072;0,8826481;-0,6125069;0,06059171;1,241056;-7;1404;16294;0,443237;0,151001;-0,527771;0,708618;
997;0;0;0;0;0;0;0;0;0;0;0;0;-7;1404;16294;0,443237;0,151001;-0,527771;0,708618;
12;0,1021561;-0,4946733;1,24437;-0,4444187;-0,2554243;1,22046;0,3892474;0,04717737;0,8526161;-0,6110316;0,06220838;1,242639;32;1458;16168;0,438965;0,149231;-0,52832;0,711243;
26;0;0;0;0;0;0;0;0;0;0;0;0;32;1458;16168;0,438965;0,149231;-0,52832;0,711243;
40;0;0;0;0;0;0;0;0;0;0;0;0;-18;1437;16059;0,435547;0,148499;-0,528564;0,713318;
53;0,1003034;-0,4954814;1,250044;-0,4211974;-0,2342456;1,238207;0,4004859;0,05115436;0,8453631;-0,610638;0,06325176;1,244909;-18;1437;16059;0,435547;0,148499;-0,528564;0,713318;
68;0;0;0;0;0;0;0;0;0;0;0;0;-18;1437;16059;0,435547;0,148499;-0,528564;0,713318;
87;0,0980234;-0,4905318;1,254734;-0,3825389;-0,213827;1,25248;0,3961112;0,05802791;0,8467854;-0,6110745;0,06427965;1,247827;12;1518;16057;0,426025;0,146729;-0,530579;0,717957;
104;0;0;0;0;0;0;0;0;0;0;0;0;12;1518;16057;0,426025;0,146729;-0,530579;0,717957;
122;0,1015507;-0,4884964;1,248505;-0,3636727;-0,203688;1,256633;0,3929182;0,06755251;0,852809;-0,612093;0,0653358;1,250992;12;1518;16057;0,426025;0,146729;-0,530579;0,717957;
136;0;0;0;0;0;0;0;0;0;0;0;0;25;1755;15663;0,416687;0,140503;-0,535889;0,720703;
