t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w
0;36;152;0;0;0;0;0;0;0;0;0;0;0;0;153;-552;11767;-0,249817;-0,319092;0,443665;-0,799377
0;36;185;-0,04738025;-0,8430132;0,7671729;-0,06805985;-0,7768503;0,6669532;0,0799531;-0,1437311;0,9530081;-0,0824756;-0,1221195;0,8818062;153;-552;11767;-0,249817;-0,319092;0,443665;-0,799377
0;36;203;-0,0507049;-0,8505787;0,7888169;-0,04528943;-0,7839059;0,6933193;0,07980668;-0,1465402;0,9608279;-0,08303796;-0,1228208;0,8832126;153;-552;11767;-0,249817;-0,319092;0,443665;-0,799377
0;36;217;0;0;0;0;0;0;0;0;0;0;0;0;205;-520;11777;-0,249939;-0,319641;0,442322;-0,799866
0;36;231;0,02883504;-0,8271058;0,7567041;-0,2425046;-0,7864881;0,7985668;0,07970671;-0,1492406;0,9710531;-0,08345553;-0,1235082;0,8847352;205;-520;11777;-0,249939;-0,319641;0,442322;-0,799866
0;36;244;0;0;0;0;0;0;0;0;0;0;0;0;205;-520;11777;-0,249939;-0,319641;0,442322;-0,799866
0;36;257;0;0;0;0;0;0;0;0;0;0;0;0;53;-607;11786;-0,249634;-0,321228;0,440918;-0,80011
0;36;273;0,06967969;-0,7930126;0,7224634;-0,2330997;-0,8413402;0,9564885;0,07999486;-0,1515298;0,9834641;-0,08375481;-0,1241902;0,8864102;53;-607;11786;-0,249634;-0,321228;0,440918;-0,80011
0;36;286;0;0;0;0;0;0;0;0;0;0;0;0;53;-607;11786;-0,249634;-0,321228;0,440918;-0,80011
0;36;300;0,02371639;-0,7996841;0,7561786;-0,1113454;-0,8615152;0,9082671;0,08035834;-0,1531561;0,9964193;-0,08390643;-0,124867;0,8884482;110;-635;11863;-0,250305;-0,324219;0,438843;-0,799805
0;36;313;0;0;0;0;0;0;0;0;0;0;0;0;110;-635;11863;-0,250305;-0,324219;0,438843;-0,799805
0;36;326;0,01640847;-0,8121709;0,7777708;-0,1251636;-0,8697853;0,9048225;0,08080921;-0,1571077;1,010363;-0,08383133;-0,1257385;0,8913977;124;-651;12000;-0,249878;-0,325562;0,43811;-0,799744
0;36;340;0;0;0;0;0;0;0;0;0;0;0;0;124;-651;12000;-0,249878;-0,325562;0,43811;-0,799744
0;36;352;0;0;0;0;0;0;0;0;0;0;0;0;293;-727;12125;-0,247131;-0,327393;0,437012;-0,800537
0;36;365;0,08072887;-0,8418207;0,8282974;-0,2140494;-0,7887029;0,7811598;0,08093979;-0,1607758;1,021648;-0,08347033;-0,1270169;0,8957071;293;-727;12125;-0,247131;-0,327393;0,437012;-0,800537
0;36;379;0;0;0;0;0;0;0;0;0;0;0;0;293;-727;12125;-0,247131;-0,327393;0,437012;-0,800537
0;36;393;0;0;0;0;0;0;0;0;0;0;0;0;1026;-433;12454;-0,234863;-0,327576;0,432861;-0,806397
0;36;410;0,08989847;-0,8124023;0,8403249;-0,2129498;-0,8018376;0,9636787;0,0772747;-0,1681979;1,031187;-0,08279165;-0,1284934;0,9014485;1026;-433;12454;-0,234863;-0,327576;0,432861;-0,806397
0;36;423;0;0;0;0;0;0;0;0;0;0;0;0;964;-493;12304;-0,225891;-0,329285;0,430481;-0,809509
0;36;436;0,09237358;-0,7968622;0,8475909;-0,2233638;-0,7970796;1,024545;0,0742114;-0,1736649;1,037542;-0,0818155;-0,1301883;0,908474;964;-493;12304;-0,225891;-0,329285;0,430481;-0,809509
0;36;448;0;0;0;0;0;0;0;0;0;0;0;0;861;-609;11956;-0,207336;-0,334473;0,42804;-0,813599
0;36;463;0,09621533;-0,7908044;0,8541229;-0,2719305;-0,7761567;1,061524;0,07200745;-0,1766952;1,042644;-0,08084197;-0,131861;0,9159493;861;-609;11956;-0,207336;-0,334473;0,42804;-0,813599
0;36;476;0;0;0;0;0;0;0;0;0;0;0;0;986;-758;11789;-0,192749;-0,339172;0,425781;-0,816406
0;36;489;0;0;0;0;0;0;0;0;0;0;0;0;986;-758;11789;-0,192749;-0,339172;0,425781;-0,816406
0;36;503;0,09941552;-0,7842155;0,8579422;-0,2838561;-0,7708814;1,070769;0,06994779;-0,1787546;1,046574;-0,08014785;-0,1334128;0,923236;1414;-1234;11571;-0,173584;-0,345764;0,424988;-0,818359
0;36;516;0;0;0;0;0;0;0;0;0;0;0;0;1414;-1234;11571;-0,173584;-0,345764;0,424988;-0,818359
0;36;530;0,1034655;-0,7795295;0,8616254;-0,3494815;-0,7243806;0,9947433;0,06759895;-0,1799893;1,04986;-0,080255;-0,1347633;0,9298215;1662;-1341;11145;-0,168579;-0,349243;0,420532;-0,820251
0;36;544;0;0;0;0;0;0;0;0;0;0;0;0;1662;-1341;11145;-0,168579;-0,349243;0,420532;-0,820251
0;36;559;0;0;0;0;0;0;0;0;0;0;0;0;1608;-1432;10949;-0,167236;-0,351196;0,416565;-0,821716
0;36;574;0,08632673;-0,7620983;0,8661012;-0,3477627;-0,7180242;0,9620019;0,06226982;-0,1790283;1,053472;-0,08238423;-0,1363839;0,9366067;1608;-1432;10949;-0,167236;-0,351196;0,416565;-0,821716
0;36;587;0;0;0;0;0;0;0;0;0;0;0;0;1608;-1432;10949;-0,167236;-0,351196;0,416565;-0,821716
0;36;601;0,1216675;-0,7799365;0,9221486;-0,3652673;-0,6902637;0,8631554;0,05256518;-0,1739503;1,058258;-0,09511806;-0,132081;0,9493402;1451;-731;10273;-0,177124;-0,346375;0,40863;-0,825684
0;36;617;0;0;0;0;0;0;0;0;0;0;0;0;1451;-731;10273;-0,177124;-0,346375;0,40863;-0,825684
0;36;631;0,2308082;-0,7253723;0,9746683;-0,4437729;-0,6669204;0,8353601;0,1432728;-0,4070901;1,069911;-0,1554608;-0,1167888;0,9822972;1461;-371;10249;-0,189148;-0,34021;0,406677;-0,826538
0;36;644;0;0;0;0;0;0;0;0;0;0;0;0;1461;-371;10249;-0,189148;-0,34021;0,406677;-0,826538
0;36;657;0;0;0;0;0;0;0;0;0;0;0;0;1337;37;10523;-0,201233;-0,333008;0,40741;-0,826233
0;36;671;0,2542444;-0,7322811;1,010909;-0,4583931;-0,6545468;0,8167247;0,1544362;-0,443338;1,074378;-0,2051853;-0,07063809;1,016006;1337;37;10523;-0,201233;-0,333008;0,40741;-0,826233
0;36;683;0;0;0;0;0;0;0;0;0;0;0;0;1277;55;10821;-0,208191;-0,326599;0,41095;-0,825317
0;36;698;0,2663003;-0,7308391;1,023806;-0,5126638;-0,5511121;0,8146195;0,1653397;-0,4683723;1,075585;-0,2259685;-0,01139423;1,029912;1277;55;10821;-0,208191;-0,326599;0,41095;-0,825317
0;36;712;0;0;0;0;0;0;0;0;0;0;0;0;1205;-225;11030;-0,216675;-0,313721;0,420959;-0,82312
0;36;725;0;0;0;0;0;0;0;0;0;0;0;0;1205;-225;11030;-0,216675;-0,313721;0,420959;-0,82312
0;36;739;0,2393935;-0,7424449;1,027358;-0,525093;-0,5220491;0,8107803;0,1615106;-0,4722452;1,080079;-0,2325588;0,008908571;1,034982;999;-413;11098;-0,221924;-0,30365;0,429626;-0,820984
0;36;751;0;0;0;0;0;0;0;0;0;0;0;0;999;-413;11098;-0,221924;-0,30365;0,429626;-0,820984
0;36;765;0,1968458;-0,7483741;1,023797;-0,5080565;-0,513051;0,8128857;0,1593516;-0,4365262;1,081789;-0,2359922;0,03376183;0,9949351;999;-413;11098;-0,221924;-0,30365;0,429626;-0,820984
0;36;778;0;0;0;0;0;0;0;0;0;0;0;0;752;-837;11099;-0,236755;-0,279724;0,455078;-0,811585
0;36;792;0;0;0;0;0;0;0;0;0;0;0;0;752;-837;11099;-0,236755;-0,279724;0,455078;-0,811585
0;36;806;0,1558906;-0,7324487;1,010353;-0,176669;-0,3945945;0,9491323;0,1505935;-0,3917909;1,087273;-0,2015863;0,09565762;0,9728094;570;-960;11410;-0,241089;-0,270142;0,468567;-0,805847
0;36;824;0;0;0;0;0;0;0;0;0;0;0;0;570;-960;11410;-0,241089;-0,270142;0,468567;-0,805847
0;36;838;0,1562357;-0,687386;1,050038;-0,07601853;-0,3205882;0,9850934;0,1489239;-0,3411542;1,092962;-0,1261898;0,135518;0,9575408;405;-984;11393;-0,24054;-0,26532;0,476685;-0,802856
0;36;850;0;0;0;0;0;0;0;0;0;0;0;0;405;-984;11393;-0,24054;-0,26532;0,476685;-0,802856
0;36;866;0;0;0;0;0;0;0;0;0;0;0;0;207;-612;11050;-0,236877;-0,258667;0,487;-0,799927
0;36;885;0,1771698;-0,6440877;1,104566;0,002176692;-0,2838097;1,019373;0,3486705;-0,05665157;0,8615919;-0,03964954;0,1603237;0,9456384;207;-612;11050;-0,236877;-0,258667;0,487;-0,799927
0;36;900;0,1799028;-0,6184261;1,125996;-0,06499013;-0,5178643;0,9397092;0,3775374;0,05899421;0,822128;-0,009600282;0,2038174;0,9401014;207;-612;11050;-0,236877;-0,258667;0,487;-0,799927
0;36;913;0;0;0;0;0;0;0;0;0;0;0;0;-730;-321;10565;-0,233643;-0,249329;0,5;-0,795776
0;36;927;0;0;0;0;0;0;0;0;0;0;0;0;-730;-321;10565;-0,233643;-0,249329;0,5;-0,795776
0;36;942;0,08683222;-0,5783319;1,11698;-0,0665787;-0,5252872;0,9753684;0,3999729;0,07437433;0,8220323;-0,002012947;0,2460902;0,9339239;-730;-321;10565;-0,233643;-0,249329;0,5;-0,795776
0;36;954;0;0;0;0;0;0;0;0;0;0;0;0;-664;-413;10572;-0,243835;-0,243835;0,514648;-0,785034
