"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
4.680921900E-2;-1.726792157E-1;9.342028201E-2;-5.188133121E-1
5.173338500E-2;-1.748097390E-1;9.448554367E-2;-5.145522952E-1
5.665760400E-2;-1.630918533E-1;1.179213375E-1;-4.740722179E-1
6.158177100E-2;-1.439170986E-1;1.317697614E-1;-4.208090305E-1
6.650593700E-2;-1.194160357E-1;1.456181854E-1;-3.675458729E-1
7.143010400E-2;-9.171919525E-2;1.552055627E-1;-3.110868931E-1
7.639552100E-2;-6.402233988E-2;1.615971476E-1;-2.535626888E-1
8.131968700E-2;-4.484759271E-2;1.615971476E-1;-1.939079165E-1
8.624385400E-2;-3.526022285E-2;1.637276560E-1;-1.363836825E-1
9.116807300E-2;-2.886864170E-2;1.562708467E-1;-7.885946333E-2
9.609223900E-2;-2.673811466E-2;1.434876770E-1;-2.346575819E-2
1.010164060E-1;-2.673811466E-2;1.264434308E-1;3.086267971E-2
1.059227080E-1;-1.928126998E-2;1.072687060E-1;8.306059241E-2
1.108468750E-1;-8.628634736E-3;7.957185060E-2;1.278016716E-1
1.157710410E-1;6.285054609E-3;4.761394858E-2;1.682816893E-1
1.206952600E-1;1.374189928E-2;2.417815290E-2;2.045006305E-1
1.256194270E-1;1.587242633E-2;-3.229080176E-4;2.353932709E-1
1.305435940E-1;1.480716094E-2;-2.375870571E-2;2.598943412E-1
1.354759370E-1;7.350317203E-3;-4.825976491E-2;2.769385576E-1
1.404001040E-1;9.587369859E-4;-6.423871219E-2;2.886564434E-1
1.453243230E-1;2.024000511E-3;-8.128293604E-2;2.971785665E-1
1.502484890E-1;3.089264035E-3;-9.300082922E-2;3.003743589E-1
1.551726560E-1;1.161137223E-2;-9.513135999E-2;2.961132824E-1
1.600968230E-1;2.545979805E-2;-9.406609088E-2;2.875911891E-1
1.650214060E-1;3.291664273E-2;-9.832715243E-2;2.790690660E-1
1.699455730E-1;3.824295849E-2;-9.619662911E-2;2.716122568E-1
1.748697910E-1;4.356927425E-2;-7.915240526E-2;2.609595954E-1
1.797939580E-1;4.356927425E-2;-6.636924297E-2;2.417848557E-1
1.847181250E-1;4.676506668E-2;-6.210819259E-2;2.204795927E-1
1.896422910E-1;5.422191322E-2;-4.506397620E-2;1.981090605E-1
1.945741660E-1;5.741770566E-2;-2.695449442E-2;1.736079901E-1
1.994983330E-1;5.741770566E-2;-1.736712456E-2;1.501722038E-1
2.044225520E-1;5.741770566E-2;-6.714489311E-3;1.235406026E-1
2.093467190E-1;4.996085912E-2;-1.388171571E-3;9.903954715E-2
2.142708850E-1;3.611243516E-2;1.246025413E-2;7.560374588E-2
2.191950520E-1;2.652506158E-2;2.417815290E-2;5.110268667E-2
2.241284370E-1;1.480716094E-2;2.204762585E-2;2.553636394E-2
2.290526040E-1;1.054610871E-2;2.204762585E-2;1.035302761E-3
2.339768230E-1;8.415581658E-3;2.630867809E-2;-1.813944243E-2
2.389009890E-1;9.587369859E-4;2.630867809E-2;-4.050997645E-2
2.438251560E-1;-1.288968883E-2;2.204762585E-2;-6.394577771E-2
2.487493230E-1;-2.673811466E-2;2.524341457E-2;-8.098998666E-2
2.536814060E-1;-3.739074618E-2;2.950447053E-2;-9.696894139E-2
2.586055730E-1;-4.697812349E-2;3.270025924E-2;-1.054910496E-1
2.635297910E-1;-5.230443925E-2;2.524341457E-2;-1.172089502E-1
2.684539580E-1;-5.336970091E-2;2.311288938E-2;-1.267963201E-1
2.733781250E-1;-5.123917758E-2;3.163499758E-2;-1.342531592E-1
2.783022910E-1;-5.230443925E-2;3.163499758E-2;-1.395794749E-1
2.832344270E-1;-5.336970091E-2;3.589605168E-2;-1.395794749E-1
2.881585940E-1;-5.230443925E-2;4.228763282E-2;-1.363836825E-1
2.930828120E-1;-4.697812349E-2;4.654868692E-2;-1.321226209E-1
2.980069790E-1;-3.845601529E-2;4.974447563E-2;-1.321226209E-1
3.029311460E-1;-2.567285113E-2;5.507079139E-2;-1.225352660E-1
3.078553120E-1;-1.715074293E-2;6.039711088E-2;-1.108173653E-1
3.127873960E-1;-1.395495236E-2;5.826658756E-2;-1.012299955E-1
3.177115620E-1;-1.608547941E-2;5.826658756E-2;-9.164262563E-2
3.226357810E-1;-1.608547941E-2;6.359290332E-2;-8.418578655E-2
3.275599480E-1;-2.141179703E-2;6.678869575E-2;-7.140261680E-2
3.324841140E-1;-2.034653351E-2;6.891921908E-2;-5.861945823E-2
3.374082810E-1;-1.502021495E-2;7.104974985E-2;-4.690155387E-2
3.423398960E-1;-1.171790180E-3;7.957185060E-2;-3.198786452E-2
