"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.938937500E-2,2.391849458E-2,2.967424877E-2,4.020370916E-2
9.356354200E-2,-6.023731828E-2,-1.218395075E-3,4.659529030E-2
1.477619280E-1,-1.656151935E-2,7.303712890E-3,3.913844377E-2
2.019543750E-1,4.826975055E-4,-1.719734818E-2,3.274686635E-2
2.561384380E-1,-9.104674682E-3,9.121319745E-4,-1.305946521E-2
3.102917710E-1,-9.104674682E-3,-2.145840228E-2,2.422476001E-2
3.644774480E-1,-2.827941813E-2,1.369529404E-2,2.102896757E-2
4.186639070E-1,-1.135004982E-1,-7.609976456E-3,3.913844377E-2
4.728490630E-1,-9.006469697E-2,-2.465419285E-2,4.233423620E-2
5.270353130E-1,-1.262836754E-1,-3.956788033E-2,5.937845260E-2
5.812283860E-1,-3.999731317E-2,-5.479449406E-3,6.683529913E-2
6.353640630E-1,-3.254047036E-2,-2.678471990E-2,3.061633743E-2
6.895401570E-1,-2.082257345E-2,-2.283658599E-3,1.783317886E-2
7.437368750E-1,-1.081741825E-1,4.107922316E-3,1.144159585E-2
7.979318750E-1,-2.082257345E-2,4.032688215E-2,4.979107901E-2
8.521158340E-1,-1.123520173E-2,-1.932787523E-2,3.168160096E-2
9.062996880E-1,2.498375811E-2,-1.400155760E-2,1.996370591E-2
9.604592710E-1,-2.295309864E-2,1.476055756E-2,3.061633743E-2
1.014643698E0,-3.680152446E-2,1.902160980E-2,4.339949787E-2
1.068845625E0,7.939541712E-3,1.977395499E-3,2.422476001E-2
1.122989896E0,-3.893205151E-2,7.303712890E-3,2.742054872E-2
1.177204636E0,-1.230046526E-2,-1.719734818E-2,3.061633743E-2
1.231370053E0,2.072270401E-2,3.926162049E-2,1.570264995E-2
1.285554636E0,1.007006876E-2,-9.740503505E-3,1.250685938E-2
1.339721980E0,1.433112100E-2,1.476055756E-2,1.463738643E-2
1.393923646E0,-1.869204640E-2,1.977395499E-3,-2.406829968E-3
1.448107240E0,-1.647829660E-3,-9.740503505E-3,2.315949462E-2
1.502288803E0,9.004805237E-3,2.754371800E-2,2.102896757E-2
1.556475782E0,-1.869204640E-2,3.042659024E-3,5.050014704E-3
1.610650678E0,-1.549625397E-2,5.173185840E-3,2.209423296E-2
1.664826303E0,-5.825661356E-4,-1.531315502E-4,2.422476001E-2
1.719009688E0,1.113533229E-2,3.073951043E-2,8.245805278E-3
1.773199375E0,-2.508362755E-2,-1.293629408E-2,1.037633233E-2
1.827373282E0,-3.778356593E-3,6.238449365E-3,1.037633233E-2
1.881539792E0,-1.443099231E-2,2.328266576E-2,7.889611297E-4
1.935727084E0,-5.908883642E-3,-1.506682113E-2,7.180541754E-3
1.989925521E0,4.826975055E-4,1.049950346E-2,2.209423296E-2
2.044086928E0,-4.843620118E-3,7.303712890E-3,7.889611297E-4
2.098283386E0,-1.336572878E-2,3.042659024E-3,2.955107577E-2
2.152459167E0,3.678488079E-3,1.795634814E-2,-2.371210046E-2
2.206674428E0,-2.401836403E-2,-1.932787523E-2,1.570264995E-2
2.260856355E0,4.826975055E-4,9.434239939E-3,7.889611297E-4
2.315038386E0,-1.869204640E-2,-4.414185882E-3,1.037633233E-2
2.369220313E0,-5.825661356E-4,-7.609976456E-3,-2.158156969E-2
2.423402032E0,4.826975055E-4,9.434239939E-3,-3.472093493E-3
2.477577553E0,-2.295309864E-2,1.977395499E-3,-1.625525393E-2
2.531746771E0,-9.104674682E-3,1.977395499E-3,-1.518999226E-2
2.585908178E0,2.072270401E-2,1.902160980E-2,6.115278229E-3
2.640088178E0,-3.680152446E-2,7.303712890E-3,-1.092893817E-2
2.694254271E0,-2.401836403E-2,7.303712890E-3,1.854224131E-3
