"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.134747920E-1,1.003866577E1,-3.254917145E1,-3.748521423E1
1.634747920E-1,1.256940460E1,-3.204687500E1,-3.816020966E1
2.134747920E-1,1.324557114E1,-3.374210358E1,-3.554960632E1
2.634747920E-1,1.196694565E1,-3.371636200E1,-3.746224976E1
3.134747920E-1,1.321217346E1,-3.205804443E1,-3.624335480E1
3.634747920E-1,1.257632446E1,-3.204346466E1,-3.623914337E1
4.134747920E-1,1.067912674E1,-3.256147003E1,-3.620870972E1
4.634747920E-1,1.256134796E1,-3.148400879E1,-3.753765488E1
5.134747920E-1,1.194622040E1,-3.259289551E1,-3.749784851E1
5.634747920E-1,1.321331024E1,-3.262431335E1,-3.878698349E1
6.134747920E-1,1.108806229E1,-3.166999817E1,-3.697329330E1
6.634747920E-1,1.109498215E1,-3.166658783E1,-3.505222702E1
7.134747920E-1,1.105004883E1,-2.998821259E1,-3.894775391E1
7.634747920E-1,1.044646072E1,-3.109142303E1,-3.570616913E1
8.134747920E-1,9.791019440E0,-3.051966095E1,-3.828117752E1
8.634747920E-1,9.826725006E0,-3.220258331E1,-3.694707489E1
9.134747920E-1,1.300136566E1,-3.227771759E1,-3.824884415E1
9.634747920E-1,1.106502533E1,-3.054767609E1,-3.764924240E1
1.013474792E0,1.044184875E1,-3.109369659E1,-3.698688126E1
1.063474792E0,1.106733322E1,-3.054653931E1,-3.700888824E1
1.113474792E0,1.235514832E1,-3.170141602E1,-3.826242828E1
1.163474792E0,1.107308197E1,-3.111053467E1,-3.827180481E1
1.213474792E0,1.300136566E1,-3.227771759E1,-3.824884415E1
1.263474792E0,1.046257401E1,-3.221715546E1,-3.695128632E1
1.313474792E0,1.107538986E1,-3.110940552E1,-3.763144684E1
1.363474792E0,1.109498215E1,-3.166658783E1,-3.505222702E1
1.413474792E0,1.106733322E1,-3.054653931E1,-3.700888824E1
1.463474792E0,1.238854599E1,-3.338548279E1,-3.756867599E1
1.513474792E0,1.045220947E1,-3.165542603E1,-3.696908188E1
1.563474792E0,9.211597443E0,-3.331147766E1,-3.690726471E1
1.613474792E0,1.108113861E1,-3.167340088E1,-3.889435959E1
1.663474792E0,1.107077408E1,-3.111167145E1,-3.891215897E1
1.713474792E0,1.108575439E1,-3.167113495E1,-3.761364746E1
1.763474792E0,1.044759369E1,-3.165769196E1,-3.824979401E1
1.813474792E0,1.108575439E1,-3.167113495E1,-3.761364746E1
1.863474792E0,1.042917633E1,-3.053310394E1,-3.764503098E1
1.913474792E0,1.109611511E1,-3.223286438E1,-3.759585190E1
1.963474792E0,1.111915207E1,-3.335519409E1,-3.691989899E1
2.013474792E0,9.814052582E0,-3.164199066E1,-3.760522461E1
2.063474792E0,1.044528580E1,-3.165882874E1,-3.889014816E1
2.113474792E0,1.111684418E1,-3.335633087E1,-3.756025314E1
2.163474792E0,9.801380157E0,-3.108139038E1,-3.826338196E1
2.213474792E0,1.234478760E1,-3.113968658E1,-3.828022766E1
2.263474792E0,1.044184875E1,-3.109369659E1,-3.698688126E1
2.313474792E0,1.043954086E1,-3.109483337E1,-3.762723541E1
2.363474792E0,9.805995941E0,-3.107912445E1,-3.698266983E1
2.413474792E0,1.045795822E1,-3.221942139E1,-3.823199844E1
2.463474792E0,1.043954086E1,-3.109483337E1,-3.762723541E1
2.513474792E0,1.234940338E1,-3.113742065E1,-3.699951553E1
2.563474792E0,1.107538986E1,-3.110940552E1,-3.763144684E1
2.613474792E0,1.048329926E1,-3.334062195E1,-3.691568756E1
2.663474792E0,1.109611511E1,-3.223286438E1,-3.759585190E1
2.713474792E0,1.235514832E1,-3.170141602E1,-3.826242828E1
2.763474792E0,1.043492508E1,-3.109709930E1,-3.890794754E1
2.813474792E0,1.044184875E1,-3.109369659E1,-3.698688126E1
2.863474792E0,1.107538986E1,-3.110940552E1,-3.763144684E1
2.913474792E0,1.298064041E1,-3.115425873E1,-3.828443909E1
2.963474792E0,1.044528580E1,-3.165882874E1,-3.889014816E1
3.013474792E0,9.811744690E0,-3.164311981E1,-3.824558258E1
3.063474792E0,1.046718597E1,-3.221488190E1,-3.567057037E1
3.113474792E0,1.237012863E1,-3.226087952E1,-3.696392059E1
3.163474792E0,1.108230972E1,-3.110599518E1,-3.571038055E1
3.213474792E0,9.810607910E0,-3.107685089E1,-3.570195770E1
3.263474792E0,1.107538986E1,-3.110940552E1,-3.763144684E1
3.313474792E0,9.805995941E0,-3.107912445E1,-3.698266983E1
3.363474792E0,1.043954086E1,-3.109483337E1,-3.762723541E1
3.413474792E0,9.824417114E0,-3.220372009E1,-3.758742905E1
3.463474792E0,1.106271744E1,-3.054880524E1,-3.828960037E1
3.513474792E0,1.046026611E1,-3.221829224E1,-3.759164047E1
3.563474792E0,1.108806229E1,-3.166999817E1,-3.697329330E1
3.613474792E0,1.236668396E1,-3.169573975E1,-3.506064987E1
3.663474792E0,1.043954086E1,-3.109483337E1,-3.762723541E1
